id,smiles
mol_0,CSC(=O)C3(O)C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C
mol_1,C1=CC=CC=C1CC2(C3(C(C)(C)C(C2)CC3)C)OCCN(C)C
mol_2,Cc1ccc(C)cc1
mol_3,[C@]23([C@@H]1[C@@H](C(=CO[C@H]1OC(=O)CC(C)C)COC(=O)CC(C)C)C[C@@H]2OC(=O)C)OC3
mol_4,[C@]23(C1(C(C1)CC2)[C@H](O)C[C@@H]4[C@@H]3CC[C@]5([C@H]4CC[C@@H]5C(=O)C)C)C
mol_5,[Cl-].NC12CC3CC(CC(C3)C1)C2.[H+]
mol_6,N1(Cc2cc(OCCCNc3nccs3)ccc2)CCCCC1
mol_7,[C@@]1([C@H](C2CCC1CC2)NC(C)C)(C3=CC(=C(C=C3)Cl)Cl)O
mol_8,C=COC=C
mol_9,[C@H]4(CC3C2=C1C(=C[N](C1=CC=C2)C(C)C)CC3N(C4)C)C(NC5CCCCC5)=O
mol_10,CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C
mol_11,COC(=O)c1ccc(cc1)C(=O)OC
mol_12,C1=C(Cl)C=CC2=C1C(=NCC(=O)N2CC(F)(F)F)C3=CC=CC=C3
mol_13,C1=CC=CC(=C1N3CCN(CCCOC2=CC=CC=N2)CC3)C
mol_14,[C@@H]14C(=C[C@H](NC(N(CC)CC)=O)CN1C)C2=CC=CC3=C2C(=C[NH]3)C4
mol_15,CCC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1
mol_16,[C@@H]23[C@H]([C@H]1[C@]([C@@H](C(C)=O)CC1)(C)CC2=O)CC[C@@H]4[C@@]3(CC[C@H](C4)O)C
mol_17,CON=C(C#N)C1CN2CCC1CC2
mol_18,C1=CC=CC=C1N2C5(C(NC2)=O)CCN(CC4OC3=C(C=CC=C3)OC4)CC5
mol_19,C1=CC=CC(=C1C(NC2=C(C=C(N(CC)CC)C=C2)C)=O)N
mol_20,[C@]1([C@H](C1)CN)(C(=O)N(CC)CC)C2=CC=CC=C2.[H+].[Cl-]
mol_21,NC(=O)c1cnccn1
mol_22,Cc1ncc2C(O)N=C(c3ccccc3F)c4cc(Cl)ccc4n12
mol_23,C3=C(C1=C2C(=NC(=O)CN1O)C=CC(=C2)Cl)C=CC=C3
mol_24,[C@H](CN1C3=C(SC2=C1C=CC=C2)C=CC(=C3)OC)(CN(C)C)C
mol_25,c1ccc2nc(c(c(C(N[C@@H](CC)c3ccccc3)=O)c2c1)O)c1ccccc1
mol_26,C3=C(C2C(NC(=O)C1NC(CC1)=O)C2)C=CC=C3
mol_27,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
mol_28,C1=CC(=CC3=C1C(C2=CC=C(F)C=C2)(OC3)CCCN(C)C)C#N
mol_29,[C@H]12[C@@H](OC(C(CC)(C)C)=O)C[C@@H](C)C=C1C=C[C@@H]([C@@H]2CC[C@@H]3C[C@H](CC(O3)=O)O)C
mol_30,C1=CC=CC3=C1C(N(C2C(NC(=O)CC2)=O)C3=O)=O
mol_31,O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4
mol_32,CCCO
mol_33,C(C(OC(C(Cl)(Cl)Cl)O)C)C(C)(C)O
mol_34,[C@]1([C@]2(C3=C(C[C@@H]1N(CC2)C)C=CC(=C3)O)C)(CCC(=O)CCCCC)C
mol_35,C1=C([N+](=O)[O-])C=CC2=C1C(=NCC(N2C)=O)C3=CCCCC3
mol_36,C2=C(N1CCN(C)CC1)N=NC3=C2N(C4=C(O3)C=CC=C4)C
mol_37,C1=CC(=CC2=C1C(=C([NH]2)C)C4CCN(CCCC(C3=CC=C(F)C=C3)=O)CC4)OC
mol_38,[C@@]125C3=C4C[C@H]([C@@]1(CC[C@@H]([C@@H]2OC3=C(C=C4)O)O)O)N(C)CC5
mol_39,C2=C(C1C(NC(C1)=O)=O)C=CC=C2Br
mol_40,Clc1cc2c(Oc3ccccc3C3CN(CC32)C)cc1
mol_41,COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC
mol_42,C1=CC=CC=C1C3(C2=CC=CC=C2)C(N(CO[P](O)(O)=O)C(N3)=O)=O
mol_43,c1(cc(nc(c1C)C)C(SC(CNc1c(cc[nH]1)[N+](=O)[O-])(C)C)(C)C)C
mol_44,FC(F)OC(Cl)C(F)(F)F
mol_45,C(SC1=NSN=C1C2=CCCN(C2)C)CCCCC
mol_46,[C@H]12C5CC4=C3[C@]1([C@H](C(C[C@@H]2CC)=O)OC3=C(C=C4)OC)CCN5CC6CC6
mol_47,[C@@]45([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)(F)[C@H](C3)O)C[C@H]4OC(O5)(C)C)C)C(COC(C)=O)=O
mol_48,Cc1ccccc1C
mol_49,CN(C)C/C=C(/c1ccc(Br)cc1)c2cccnc2
mol_50,C4=C(C(C(=O)N1CCCC1)(C2=CC=CC=C2)C(CN3CCOCC3)C)C=CC=C4
mol_51,Nc1ccc(cc1)[S](=O)(=O)Nc2ncccn2
mol_52,C1=C(C#N)C=CC3=C1N(C2=C(C=CC=C2)CC3)CCCN(C)C
mol_53,C1=CC(=CC=C1)CC(N(C)CC2=CC=CC=C2)C
mol_54,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@H]13
mol_55,C(C1(C(NC(=O)NC1=O)=O)C(C)C)C=C
mol_56,C1=C(C(F)(F)F)C=CC3=C1N(C2=C(C=CC=C2)S3)C(CCN4CCN(C)CC4)=O
mol_57,C1=C(Cl)C=CC3=C1N(C2=CC=CC=C2)C(=O)N3CCCN(C)C
mol_58,C1=C(C=C(C=C1OCC2CNC(O2)=O)C)C
mol_59,C2=C(OCC1OC(NCC1)=S)C=CC=C2
mol_60,CCN1C=CC(=O)C(=C1CC)O
mol_61,[C@H](CCCNC(C)=O)(C(O)=O)NC(C)=O
mol_62,CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3
mol_63,C1=CC=C3C(=C1OCC2CNCCO2)N(CCC3)C
mol_64,C1=C(C=CC=C1)C(C2=CC=CC=C2)(C3NCCCC3)O
mol_65,c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O
mol_66,OC(O)C(Cl)(Cl)Cl
mol_67,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
mol_68,CN(C)CCCN2c1ccccc1C(=Nc3cccnc23)c4ccccc4
mol_69,C1=C(F)C=CC3=C1C=C(SCCNC)C2=CC=CC=C2O3
mol_70,C1=CC=CC2=C1N(C(CO2)=O)CC(N)=O
mol_71,NC1=NC(=O)c2ncn(COCCO)c2N1
mol_72,C2=C(N1N=C(C)CC1=O)C=CC=C2
mol_73,[C@H]3(CCCC1=C2C(=NC=C1)C=CC(=C2)OC)[C@@H](CNCC3)C=C
mol_74,C1=C(C(=CC(=C1[S](NC)(=O)=O)N)OC)C(NCC2N(CCC2)CC=C)=O
mol_75,C3=C(C(C1=CC=CC=C1)(C(OCCN2CCCCC2)=O)O)C=CC=C3
mol_76,ClCCNC(=O)N(CCCl)N=O
mol_77,[C@]4([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)CC2)C)[C@H](C3)O)CC4)C)(OC(CCC)=O)C(CO)=O
mol_78,[C@]23([C@H]([C@H]1[C@]([C@](C(CO)=O)(O)[C@H](C1)C)(C)C[C@@H]2O)CCC4=CC(=O)C=C[C@]34C)Cl
mol_79,c1cc(CCNC)ncc1
mol_80,C1=CC=CC(=C1C2=NCC(N(C3=C2C(=N[N]3C)C)C)=O)F
mol_81,C1=C(C(CCC)=O)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCN(C)CC4
mol_82,C1=CC=CC2=C1C(C3=C(CC2)C=CC=C3)=CC(CN(C)C)=O
mol_83,C1=C(OC)C(=CC2=C1C(=NN=C(C2CC)C)C3=CC=C(C(=C3)OC)OC)OC
mol_84,C2=C(C(C1=CC=CC=C1)(CC(NNC(C)=O)=O)O)C=CC=C2
mol_85,c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](CN2CCCC2)CC(CC1)(C)C)=O
mol_86,CN(C)Cc1ccc(CSCCNC2=C([N+]([O-])=O)C(Cc3ccccc3)=CN2)o1
mol_87,c12c(nc([nH]1)NC(OC)=O)cc(SCCC)cc2
