id,smiles
mol_0,O=C1CCC23CC(C=CC=C12)n1c(=O)n(-c2ccccc2)c(=O)n13
mol_1,CC(=O)OC(Cc1cc(C=C(C(F)(F)F)C(F)(F)F)cc(C)n1)(C(F)(F)F)C(F)(F)F
mol_2,N#CC(=Cn1ccc(=O)[nH]c1=S)c1nc2ccccc2s1
mol_3,CC(=N)NOCc1nc(C)no1
mol_4,CC(=O)NC(=N)NC#N
mol_5,Cc1cc(Br)cc(C)c1NC(=O)C(=O)CC(=O)c1sc(-n2nc(-c3ccccc3)cc2-c2ccccc2)nc1C
mol_6,CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1
mol_7,CC(c1ccc2c(c1)CCC1C2CC2OC23CC=CC(=O)C13C)C1CC2(C)OC2(C)C(O)O1
mol_8,Cn1c([N+](=O)[O-])cnc1CSc1ccc(C#N)cc1
mol_9,Cl.O=C1OC(c2ccccc2)CC1CN1CCOCC1
mol_10,CC1=[O+][Cu-3]23[O+]=C(C)CC(C)=[N+]2C(C)C[N+]3=C(C)C1
mol_11,CC(=O)OCC1OC(n2c3c(c(-c4ccco4)c(C#N)c2=S)CCCC3)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
mol_12,COC(=O)C(=O)C(C(=O)OC)C(=O)C(=O)Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
mol_13,N#CC(=CNC(=S)NC1CCCCC1)c1nc2ccccc2s1
mol_14,O=C(NNC(=O)c1csc(NC(=S)NC2CCCCC2)n1)c1ccccc1
mol_15,NC1=C(c2nc(-c3ccccc3)cs2)C(c2ccc(Br)cc2)c2c(c3ccccc3oc2=O)O1
mol_16,O=[N+]([O-])c1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
mol_17,O=C(O)O.O=C1C=C(N2CCN(CCO)CC2)C(=O)c2c(N3CCN(CCO)CC3)cc(N3CCN(CCO)CC3)nc21
mol_18,O=S(=O)(c1ccccc1)C1(Sc2ccccc2)CC=CC1
mol_19,O=C1c2c(c3c4ccccc4n(COCCO)c3c3[nH]c4ccccc4c23)C(=O)N1Cc1ccccc1
mol_20,O=C(CC(C(=O)c1cccs1)c1ccccc1)c1ccccc1O
mol_21,CCOC(=O)Cc1csc(Nc2ccc(OCC)cc2)n1
mol_22,CC(NC(=O)C(N)Cc1ccc(O)cn1)C(=O)O
mol_23,CN(C)CCC(=NNc1ccc([N+](=O)[O-])cc1)c1ccccc1.Cl
mol_24,Cn1c(=O)ccc2cc(C(=O)c3ccccc3)ccc21
mol_25,CCOC(=O)CC(SP1(=S)OCC2(CC=CCC2)CO1)C(=O)OCC
mol_26,N#CC12CCC1C1CCCCC12N1CCSCC1
mol_27,Oc1c(C2=NNC(c3ccc(Cl)cc3Cl)C2)ccc2ccccc12
mol_28,COc1ccc(C2C3=C(N=C4SC(C(C)=O)=C(C)N42)c2ccccc2CC3)cc1
mol_29,Cc1ncc([N+](=O)[O-])n1CCn1ccnc1[N+](=O)[O-]
mol_30,O=NNc1nc(-c2ccccn2)nc2ccccc12.[NaH]
mol_31,Cc1nn(C(=O)Cc2ccccc2)c2c1C(c1ccc(Cl)cc1)SC(=N)N2
mol_32,c1cc2nsnc2c2c[nH]cc12
mol_33,CC(=O)NC1C(OCc2ccccc2)OC(COC(=O)CCCCCNc2ccc([N+](=O)[O-])c3[nH]c4ccc(O)cc4c(=O)c23)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)OCc1ccccc1)C(N)=O
mol_34,[N-]=[N+]=C1C(=O)NCN=C1c1ccccc1
mol_35,CC(CCO)OC1OC(COC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C1OC(=O)C(C)(C)C
mol_36,[O-]c1c2cc(-[n+]3c(-c4ccccc4)cc(-c4ccccc4)cc3-c3ccccc3)cc1COC(c1ccccc1)C(c1ccccc1)OCc1cccc(n1)COC(c1ccccc1)C(c1ccccc1)OC2
mol_37,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3ccc4[nH]c5ccccc5c(=O)c4c3)cc2)c1C
mol_38,CCOC(=O)C(NC(C)=O)C(c1ccc(OC)cc1)[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
mol_39,COC(=O)c1cc2c(s1)C(=O)c1ccccc1-2
mol_40,CCOC(=O)C(=Cc1ccc(C#N)cc1)C(C)=O
mol_41,COC(=O)c1cc(C(CCl)c2cc(C(=O)OC)c(O)cc2C)c(C)cc1O
mol_42,Cc1cc(C)c(C(=O)O)c(N)c1O
mol_43,COP1(=O)NCc2ncccc2O1
mol_44,CN(C)CCNC(=O)C1COc2cc(-c3cc(=O)c4ccccc4o3)ccc2O1.Cl
mol_45,O=C(O)C1(Cc2ccc3c(c2)CCC3)Cc2ccccc2C1=O.[KH]
mol_46,CC(C)(CN1CCCCC1)C(=O)C=Cc1ccc(Cl)c(Cl)c1.Cl
mol_47,COc1cc(C=C2CCC(C)C3=C(c4cc(OC)c(OC)c(OC)c4)C(C#N)=C(N)OC23)cc(OC)c1OC
mol_48,CN(C)c1nncc2[nH]nnc12
mol_49,N=c1[nH]c2cc(Cl)ccc2n1N
mol_50,CC1=CC(=O)C(=C(C)C)CC1
mol_51,O=C(Cn1c2ccc(Br)cc2c2nc3ccccc3nc21)NNC(=S)NC1CCCCC1
mol_52,Cc1cn(COCCS(=O)c2ccccc2)c(=O)[nH]c1=O
mol_53,CN1C(=S)N2CCCCCCCC2C(C#N)=C1N
mol_54,O=C1CC(=O)NC(NNS(=O)(=O)c2ccc(Cl)cc2)=N1
mol_55,CCOC(=S)NP(=O)(NC(=S)OCC)NC(=S)OCC
mol_56,CC1=C(C(=O)NCC(C)O)CC(C(=O)NCC(C)O)=C(C)N1
mol_57,CCCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1
mol_58,COn1oc(=O)c2ccccc21
mol_59,N#CC(C(=O)c1ccccc1)=C1Nc2ccccc2N1
mol_60,Cc1cc([N+](=O)[O-])ccc1N=NC(=O)NNc1ccc([N+](=O)[O-])cc1C
mol_61,CCCCCCCCCCCCCCCCOCC(COC(c1ccccc1)(c1ccccc1)c1ccccc1)O[PH](=S)OC
mol_62,Cc1cc(OCC(O)CO)ccc1Cl
mol_63,CCCCOCc1cc(CN2CCN(C)CC2)c(O)c2ncccc12
mol_64,COC(=O)CSc1n[nH]c(-c2ccccc2)n1
mol_65,C=CCOc1cc(NC(=S)c2ccoc2C)ccc1OC
mol_66,O=C1C(=Cc2ccc(O)c(O)c2)CCc2ccccc21
mol_67,COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1
mol_68,CCc1c(CNC2=NCCN2)c(CC)c(CNC2=NCCN2)c(CC)c1CNC1=NCCN1.Cl
mol_69,CC(C=Cc1ccccc1)=Nc1ccccc1
mol_70,CCCNCCCCC(NC(C)=O)C(=O)NCc1ccccc1
mol_71,O=C(O)CC1CCN(C(=O)c2ccccc2)C(Cc2c[nH]c3ccccc23)C1O
mol_72,CC(C)(C)CNC(=O)NCn1cc(-c2ccccc2)nn1
mol_73,CC(C)=C=CCN(C)Cc1ccccc1.O=C(O)C(=O)O
mol_74,COCCn1cnc2c(Cl)nc(Nc3ccccc3)nc21
mol_75,O=C1C(=Cc2ccccc2Cl)COc2ccccc21
mol_76,COc1cc2c(c(OC)c1)C(C)=NC(C)C2
mol_77,O=S(=O)(c1ccccc1)C1CN(Cc2ccccc2)CCN(Cc2ccccc2)C1
mol_78,O=C1CCC2(CCC(=O)NC2=O)C(=O)N1
mol_79,COc1ccc(C(C2=C(O)CC(C)OC2=O)C2=C(O)CC(C)OC2=O)cc1
mol_80,COc1ccc(-c2nc3c(nc2-c2ccc(OC)cc2)C(N)=NS(=O)(O)=N3)cc1
mol_81,CCCCCCCCCCCCCCCCOC1OC(CSSCC2OC(OCCCCCCCCCCCCCCCC)C(O)C(O)C2O)C(O)C(O)C1O
mol_82,CC(=O)Nc1nnc(S(C)(=O)=O)s1
mol_83,CCOC(=O)c1sc2nc(SC)nc(N3CCCCC3)c2c1N
mol_84,Cc1ccc(C2OC(=O)c3c2ccc2ccccc32)cc1
mol_85,Oc1c(Cc2ccccc2)c(-c2ccccc2)nn1C1=NCCN1
mol_86,CCOC=C1C(=O)N(C(C)=O)c2cc(OC)c(OC)cc21
mol_87,Nc1c(Br)cc(C=C2C=Cc3ccccc32)cc1Br
mol_88,O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3
mol_89,CCOC(=O)c1nc2ccccc2nc1Nc1cc(OC)c(OC)c(OC)c1
mol_90,O=C(C1=CCC2(CC1)OCCO2)N(Cc1ccccc1)c1ccccc1I
mol_91,Nc1nc(N)c(N=O)c(N)n1
mol_92,COC(=O)CCC(NC(=O)C(C)NC(=O)COC1C(O)C(COC(=O)CCCCCCCCCCNC(=O)c2ccc([N+](=O)[O-])c3[nH]c4cc(Br)ccc4c(=O)c23)OC(OCc2ccccc2)C1NC(C)=O)C(N)=O
mol_93,CC1(C)C2CCC(CNC(=N)CSS(=O)(=O)O)C1C2
mol_94,CCOC(=O)C(O)=C1C(=O)N(C)C(=O)C1c1ccc(OC)c(OC)c1
mol_95,COc1ccc(C23c4ccc(OC)cc4CC2(c2ccc([N+](=O)[O-])cc2)Cc2cc(OC)ccc23)cc1
mol_96,COc1nc2ccc(COc3ccc(C(=O)O)cc3)cc2nc1OC
mol_97,CN(C)c1ncnc2c1Cc1ccccc1C(=O)N2C
mol_98,COC(=O)CCC(=O)c1ccc2c(c1)CC1(Cc3ccccc3C1)C2
mol_99,O=c1cc[nH]c2c1ccc1ncccc12
mol_100,CCOC(=O)NC(Nc1ncccn1)(C(F)(F)F)C(F)(F)F
mol_101,CC(C)(C)C1CCC2c3c([nH]c4ccccc34)C3C(=O)N(c4ccc(C(=O)O)cc4)C(=O)C3C2C1
mol_102,CC(=CC1CC(C2CCC34CC23C=CC2C3(C)CC=C5CC(c6ccccc6)OCC5(C)C3CC(O)C24C)C(=O)O1)CO
mol_103,CC1(C)c2ccccc2-c2nc3ccccc3c3c2C1OC3=O
mol_104,Cc1cn(C2CC(CC=[N+]([O-])CC3OC(n4cc(C)c(=O)[nH]c4=O)CC3O[Si](C)(C)C(C)(C)C)C(CO[Si](C)(C)C(C)(C)C)O2)c(=O)[nH]c1=O
mol_105,CCOC(=O)C(=Cc1ccc(C#N)cc1)C(=O)OCC
mol_106,COc1ccc(OC)c(C(Nc2ccc3cn[nH]c3c2)P(=O)(c2ccccc2)c2ccccc2)c1
mol_107,CC(CC(=O)Nc1ccc(C)c(C)c1)=NN(c1ccccc1)c1ccccc1
mol_108,CC(C)(C)OC(=O)NC(C)(C)C(=O)NCCC(=O)O
mol_109,CN1c2ccccc2N=Cc2c1oc1ccc3ccccc3c1c2=O
mol_110,Oc1ccccc1C=Nc1ccccc1N=Cc1ccccc1O
mol_111,CCCCC(C#N)C(=O)NC(N)=O
mol_112,N#Cc1c(N2CCCC2)ncn(Cc2ccccc2)c1=O
mol_113,N#CCCN(CCC#N)C(=O)Nc1cccc2ccccc12
mol_114,CC(=NNC(=N)N)c1ccccc1
mol_115,CCCC[Sn](CCCC)(OC(=O)c1cc(F)cc(F)c1)O[Sn](CCCC)(CCCC)OC(=O)c1cc(F)cc(F)c1
mol_116,C[SH](C)(=O)CCCS(=O)(=O)O
mol_117,CCOC(=O)C(=Cc1ccc(N(C)C)cc1)[Se]c1ccccc1
mol_118,O=C(CI)Nc1ccc2oc(=O)c(C(=O)O)cc2c1
mol_119,CCCCOC1CC2(c3ccc(OC)cc3)C(=O)c3ccccc3N2O1
mol_120,CCOC(=O)C1=NN(c2ccccc2)C(=O)C1=CN1C(=O)CC(=O)NC1=S
mol_121,COc1ccc(C(=O)C(c2ccc(OC)cc2)C2(O)C(=O)Nc3ccc([N+](=O)[O-])cc32)cc1
mol_122,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
mol_123,CCC(=O)OCN(C)c1nc(N(C)COC(=O)CC)nc(N(C)COC(=O)CC)n1
mol_124,CC(=O)CCS(=O)(=O)O
mol_125,OCc1cccnc1
mol_126,CC(=O)OC(C)(C)c1ccc2c(c1)C(=O)CC1C(C)(C#N)CCCC21C
mol_127,O=S(=O)(O)c1ccc(Nc2ccnc3cc(Cl)ccc23)cc1
mol_128,N#CCCN(CCC#N)c1ccc(C=C2N=C(c3ccccc3)N(c3ccc(F)cc3)C2=O)cc1
mol_129,I.OCCN(C1=NCCN1)[N+](=Cc1ccc(Cl)cc1)[CH-]c1ccc(Cl)cc1
mol_130,CN(C)c1ccc(C=Cc2cc[n+](C)c3ccccc23)cc1
mol_131,COC(=O)C12CCC(C)C(C)C1C1=CCC3C4(C)CCC(OC(C)=O)C(C)(C)C4CCC3(C)C1(C)C(O)C2
mol_132,COC(=O)C12C3C4C1C1C2C3C41C(=O)O
mol_133,BC#N.CN(C)CCCn1ccc(=O)[nH]c1=O
mol_134,CC(=O)OCC1(C)C(OC(C)=O)CCC2(C)C(CC(OC(C)=O)C3=CCOC3=O)C(O)(CO)CCC12
mol_135,O=C(O)C(=O)O.O=C1CN(CCN2CCCCC2)CC(=O)N2CCCCN12
mol_136,ON=C(CSSCC(=NO)c1ccc(Cl)cc1)c1ccc(Cl)cc1
mol_137,Nc1ccc(C(=O)Nc2ccccc2N)cc1
mol_138,c1ccc(N=C(N2CCOCC2)N(CCN2CCOCC2)c2ccccc2)cc1
mol_139,CCOC1NC(N=Cc2ccc(OC)cc2)=C(C#N)C1C#N
mol_140,CCCCCC(C=CC1CCC(=O)C1)OCOCCOC
mol_141,CCOC(=O)NC(Nc1ccc(Cl)cn1)(C(F)(F)F)C(F)(F)F
mol_142,CC(C)(C)c1ccc(-n2c3nc(=O)n(-c4ccccc4C(F)(F)F)c(=O)c-3cc3ccccc32)cc1
mol_143,COc1cccc(Nc2nc(N)nc(N)c2N=O)c1
mol_144,Cc1ccc(N=Cc2ccc3c(c2)OCO3)cc1C
mol_145,CC1=C(C(=O)NNC(=O)Cc2ccccc2)CC(C(=O)NNC(=O)Cc2ccccc2)=C(C)N1
mol_146,COc1ccc(N=NC(=O)NC(CC(C)C)C(N)=O)cc1
mol_147,CC(NC(=O)OCc1ccccc1)NC(=O)C(CC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C
mol_148,C[n+]1cc(C(O)c2ccc3c(c2)OCO3)c2ccccc2c1.[I-]
mol_149,O=C1C(=Cc2ccc(O)c([N+](=O)[O-])c2)CCCC1=Cc1ccc(O)c([N+](=O)[O-])c1
mol_150,C1CSCC2COCC(CSCCS1)S2
mol_151,COc1ccccc1C(=O)c1c(NCc2ccccc2)c(=O)c1=O
mol_152,CC(=O)C(C)C(=O)N1C(=O)OCC12C1CCC(C1)C2(C)C
mol_153,Cc1cc(CO)c(O)c(C(=O)CC2CC(=O)NC(=O)C2)c1
mol_154,CC12CCC3C(CCC4C(=NO)C(=O)C(=NO)CC43C)C1CC(=NO)C2=O
mol_155,[N-]=[N+]=CC(=O)OCCCCl
mol_156,CC1=CC(=O)c2c(O)cccc2C1=O
mol_157,COc1ccc(S(=O)(=O)c2ccccc2[N+](=O)[O-])cc1
mol_158,NS(=O)(=O)c1nnc(NC(=O)Nc2ccc(Cl)c(Cl)c2)s1
mol_159,CCCCOC(=O)C1CN2C=CC=NC2=NC1(C(F)(F)F)C(F)(F)F
mol_160,CC(=O)ON(OC(C)=O)c1ccc(C)cc1
mol_161,N#Cc1ncn(-c2ccccc2)c1N
mol_162,CC(=O)NNc1nc(C)c(C(=O)C=CC=Cc2ccccc2)s1
mol_163,C(=Cc1ccc2ccccc2c1Nc1ccccc1)c1ccccc1
mol_164,COc1ccc(NC2C(=O)C3(C)CCC2C3(C)C)cc1
mol_165,O=C(Oc1ccc(OC(Oc2ccccc2)c2ccccc2)cc1)c1ccccc1
mol_166,CC1=NOC2(C1)C(=NO)CCCC2=NO
mol_167,COc1ccc(C(=O)C(C(=O)C(=O)NCCCNC(=O)C(=O)C(C(=O)c2ccc(OC)cc2)c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
mol_168,Cc1cn(C2CC(S(=O)c3ccccc3)C(CO)O2)c(=O)[nH]c1=O
mol_169,CC(=O)c1cccc(NC(=O)C(=O)c2c(O)c3ccccc3oc2=O)c1
mol_170,COC(=O)N1CCC(Sc2ccccc2)C2(CCOC(=O)c3ccccc3)CCC(O)C12
mol_171,O=c1[nH]c2ncsc2c(=O)n1O
