id,smiles
mol_0,CCn1c(=O)ccc2ccc(N(CCO)CCO)nc21
mol_1,O=c1[nH]c2ccsc2c(=O)n1COCc1ccccc1
mol_2,CCOC(=O)c1nc2cc(C(F)(F)F)ccc2nc1Nc1ccc(OC)c(OC)c1
mol_3,N#CCC(=O)Nn1c(CC#N)nnc1Cc1ccccc1
mol_4,Nc1ccccc1S(=O)c1ccccc1
mol_5,CC(C)(O)CCCC1CCC2C3CCC4CCCCC4(C)C3CCC2(C)C1O
mol_6,CCCCCCc1nn2c(-c3ccncc3)nnc2s1
mol_7,c1cc(C2=NN[Ni-2]3(NN=C(c4ccncc4)[OH+]3)[OH+]2)ccn1
mol_8,Cc1ccccc1N1C(=S)N(c2ccc(Cl)cc2)C2=Nc3ccccc3NC1=C2N=Nc1cc(Cl)ccc1Cl
mol_9,CNc1ncnc2[nH]c(OC)nc12
mol_10,Cn1cc[n+]([Pt-2]([n+]2ccn(C)c2)([n+]2ccn(C)c2)[n+]2ccn(C)c2)c1.[O-][Cl+3]([O-])([O-])[O-]
mol_11,Nc1nc(N)c(-c2ccccc2)c(C(=O)Nc2ccc(Cl)c(Cl)c2)n1
mol_12,COc1cccc(N2C(=O)C3C4C=C5c6ccccc6N(c6ccccc6)C5(C3C2=O)C2C(=O)N(c3cccc(OC)c3)C(=O)C42)c1
mol_13,CN1C(=O)C2CCCN2C(=O)C1(C)NC(=O)OCc1ccccc1
mol_14,O=C1c2ccsc2C(=O)c2ccsc21
mol_15,N=c1[nH]c2cc([N+](=O)[O-])cnc2s1
mol_16,CC(=O)[OH+][Co-3]12([OH+]c3ccccc3C=[N+]1c1ccc(S(=O)(=O)Nc3nccc(C)n3)cc1)[OH+]c1ccccc1C=[N+]2c1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1
mol_17,COc1ccc(NC(=O)C(C)Oc2ccc(OCC3CCCCC3)cc2)cc1
mol_18,CCOC(=O)C(NC(=O)c1ccccc1)C(c1ccc(OC)cc1)[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
mol_19,CCOC(=O)C(=Cc1ccc(C(F)(F)F)cc1)[Se]c1ccccc1
mol_20,C1=CC2=[S+][Mn+2]3([OH+]N2C=C1)[OH+]N1C=CC=CC1=[S+]3
mol_21,Oc1ccc(C2CC(O)c3ccccc3O2)cc1
mol_22,O=C(O)Cc1cc(O)nc2c1C(=O)CCC2
mol_23,COc1ccc(-c2oc3ccccc3c(=O)c2O)cc1OC
mol_24,Nc1c(SSc2ccc3ccccc3c2N)ccc2ccccc12
mol_25,CC=C(C)C(=O)c1c(O)cc(O)c2ccc(=O)oc12
mol_26,CCOc1ccc(N=NC2C(=O)N(C(=O)CC(=O)Nc3ccc(C)cc3)N=C2C)cc1
mol_27,COc1cc2c(c3oc(C)c(C)c(=O)c13)C=CC(C)(C)O2
mol_28,NC(=S)NN=C1CCCCC1C(O)(C(F)(F)Cl)C(F)(F)Cl
mol_29,O=C(CN1CCCCC1)CC(O)(C(F)(F)F)C(F)(F)F
mol_30,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4nc(C)cs4)CCC32)C1
mol_31,O=[As](O)(O)CC(O)CO
mol_32,Cc1cc(N(CCC#N)CCC#N)ccc1C(N=Nc1ccccc1)=NNC(=O)c1ccccc1
mol_33,Cn1c(=O)[nH]n(C2Cn3c(=O)n(C)c(=O)n3-c3ccccc32)c1=O
mol_34,CC(NC(=O)C(C)NC(=O)C(N)CCP(C)(=O)O)C(=O)O
mol_35,CCCCC1SC2=NCCN2C1(O)c1ccc(Cl)cc1
mol_36,Cc1cc(N=Nc2ccc(Sc3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3)cc2)c(N)c(N=Nc2ccc(C(=O)O)cc2)c1N
mol_37,CCN(CC)C(c1ccc(N(C)C)cc1)C(c1ccc(N(C)C)cc1)N(CC)CC
mol_38,Clc1ccc(C=NN=C(NN=Cc2ccc(Cl)cc2Cl)NN=Cc2ccc(Cl)cc2Cl)c(Cl)c1
mol_39,CC(C)(C)OC(=O)C1C(=O)C(C(=O)OC(C)(C)C)C23CCCCCCCCCCC12C(C(=O)OC(C)(C)C)C(=O)C3C(=O)OC(C)(C)C
mol_40,CSc1c(C(=O)Nc2ccc(Cl)cc2)c(=N)[nH]n1-c1ccccc1
mol_41,CC(C)c1ccc(C=Cc2cc(C(=O)NNC(=O)NC3CCCCC3)nc(S)n2)cc1
mol_42,NC(=O)CCC(Nc1c2ccccc2nc2ccccc12)C(=O)O
mol_43,O=S1(=O)c2ccc(cc2)N=CC=Nc2ccc1cc2
