id,smiles
mol_0,NCC(=O)O
mol_1,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1csc(C(F)(F)F)n1
mol_2,C#CCN1CC(=O)N(COC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)C1=O
mol_3,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)[O-])c3O[C@H]2C[C@H]1O
mol_4,CCCC(C)C1(CC)C(=O)N=C(O)NC1=O
mol_5,CC=O
mol_6,CCCCCCCCCCCCCC[n+]1ccc(C)cc1
mol_7,CN1CCOC(c2ccccc2)c2ccccc2C1
mol_8,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1
mol_9,CN(C)N=O
mol_10,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
mol_11,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1
mol_12,CC1CN1P(=O)(N1CC1C)N1CC1C
mol_13,CC(=O)c1ccc(Cl)c(Cl)c1Cl
mol_14,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1
mol_15,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12)c1csc(N)n1
mol_16,O=C(CCN1CCN2CCCC2C1)N1c2ccccc2Sc2ccc(Cl)cc21
mol_17,C[n+]1ccn(CCO)c1
mol_18,CC(C)c1ccc2c(C(C)C)cc(C(C)C)c(S(=O)(=O)[O-])c2c1
mol_19,C=COCC1CCC(CO)CC1
mol_20,CC(=O)Nc1cccc(O)c1
mol_21,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
mol_22,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O
mol_23,CCC(C)(C)C(=O)O
mol_24,CCCCCNCCCCC
mol_25,CCCCCCCCS
mol_26,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
mol_27,OCCOCCOCCOCCOCCO
mol_28,COc1ccc(CO)cc1
mol_29,CC(O)CO
mol_30,CCCCCCCCCCCCCCCCCC#N
mol_31,Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)OCCN(C)C)cc12
mol_32,CC(C)=CCCC(C)CCO
