id,smiles
mol_0,CC(=O)C=Cc1ccc2c(c1)OCO2
mol_1,CCCCSCCCC
mol_2,CC1=Nc2ccc3ccccc3c2C1(C)C
mol_3,CC(C)CC(C)CC(C)CC(C)COC(=O)c1ccccc1C(=O)OCC(C)CC(C)CC(C)CC(C)C
mol_4,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
mol_5,Cc1oc(-c2ccccc2)nc1CCOc1cccc2c1ccn2CCC(=O)O
mol_6,CCCCCCCCCC
mol_7,CCC(C)c1nccnc1OC
mol_8,NC(=O)CN1CC(O)CC1=O
mol_9,CC(S)C(=O)NCC(=O)O
mol_10,C[C@H](CN1CCCC1)C(=O)c1ccc(C(F)(F)F)cc1
mol_11,Nc1nc2nc[nH]c2c(=S)[nH]1
mol_12,C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
mol_13,CS(C)=O
mol_14,c1ccc(Nc2ccc3ccccc3c2)cc1
mol_15,O=C([O-])CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(Cl)c1
mol_16,CN1C(=O)N(c2ccccc2Br)Cc2cnc(Nc3ccc4c(c3)OCC(CO)O4)nc21
mol_17,N#CC(O)c1ccccc1
mol_18,CC(C)C(OC(=O)c1ccccc1)C(C)(C)COC(=O)c1ccccc1
mol_19,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Ba+2]
mol_20,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1
mol_21,Cc1cccc(C)c1NC(=O)c1ccccc1C(=O)O
mol_22,CCC(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
mol_23,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
mol_24,O=C(Oc1ccccc1)Oc1ccccc1
mol_25,NC(=S)NS(=O)(=O)c1ccc(N)cc1
mol_26,CC(C)OC(=O)c1cc(C(=O)OC(C)C)cc([N+](=O)[O-])c1
mol_27,CC1CCC(C(C)CS)CC1S
mol_28,CCCN(CCC)CCc1c[nH]c2ccccc12
mol_29,CCCCCCCCNC
mol_30,CCN(C(=O)N(CC)c1ccccc1)c1ccccc1
mol_31,CCOc1ccccc1N
mol_32,Cc1cc(F)ccc1-c1cc(N2CC[C@@H](O)[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
mol_33,CC(C)CCC[C@@H](C)[C@H]1CC(=O)C2=C3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
mol_34,Cc1cc(S(=O)(=O)O)c(N)cc1Cl
mol_35,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
mol_36,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
mol_37,CC(C)c1ccc(C(C)C)cc1
