dataset,split,mean,max
hiv,datasail_scaled_stratified_lambda_0,0.015518085982765994,0.029480013377608458
hiv,datasail_scaled_stratified_lambda_0.5,0.016052030707090496,0.030903375051563473
hiv,datasail_scaled_stratified_lambda_1,0.015793637556712162,0.031240205062358015
hiv,datasail_scaled_stratified_lambda_2,0.015540666095233212,0.0305288179467081
hiv,datasail_scaled_stratified_lambda_5,0.01542317129612208,0.03040977095475167
tox21,datasail_scaled_stratified_lambda_0,0.01961467556040727,0.02586486839163519
tox21,datasail_scaled_stratified_lambda_0.5,0.01884176071473042,0.025079457463446253
tox21,datasail_scaled_stratified_lambda_1,0.01872481889428197,0.024915717130423606
tox21,datasail_scaled_stratified_lambda_2,0.01815032840735523,0.02484459311567358
tox21,datasail_scaled_stratified_lambda_5,0.019173691885758987,0.02480881411977899
