dataset,split,label,model,accuracy,f1,mcc,auc
bace,random,Class,random_forest,0.789,0.771,0.577,0.866
bace,random,Class,logistic_regression,0.796,0.78,0.592,0.826
bace,datasail_full,Class,random_forest,0.68,0.226,0.156,0.715
bace,datasail_full,Class,logistic_regression,0.687,0.356,0.209,0.646
bace,datasail_scaled_random,Class,random_forest,0.753,0.0,0.0,0.719
bace,datasail_scaled_random,Class,logistic_regression,0.724,0.078,-0.014,0.514
bace,datasail_scaled_stratified,Class,random_forest,0.767,0.136,0.123,0.805
bace,datasail_scaled_stratified,Class,logistic_regression,0.65,0.36,0.129,0.615
bbbp,random,p_np,random_forest,0.868,0.917,0.644,0.92
bbbp,random,p_np,logistic_regression,0.854,0.904,0.604,0.878
bbbp,datasail_full,p_np,random_forest,0.847,0.917,0.163,0.719
bbbp,datasail_full,p_np,logistic_regression,0.842,0.912,0.214,0.755
bbbp,datasail_scaled_random,p_np,random_forest,0.865,0.924,0.351,0.766
bbbp,datasail_scaled_random,p_np,logistic_regression,0.845,0.911,0.329,0.807
bbbp,datasail_scaled_stratified,p_np,random_forest,0.876,0.932,0.316,0.767
bbbp,datasail_scaled_stratified,p_np,logistic_regression,0.876,0.929,0.458,0.757
tox21,random,NR-AR,random_forest,0.965,0.49,0.559,0.774
tox21,random,NR-AR,logistic_regression,0.944,0.355,0.333,0.693
tox21,random,NR-AR-LBD,random_forest,0.97,0.5,0.568,0.755
tox21,random,NR-AR-LBD,logistic_regression,0.958,0.44,0.428,0.683
tox21,random,NR-AhR,random_forest,0.914,0.513,0.531,0.873
tox21,random,NR-AhR,logistic_regression,0.844,0.444,0.358,0.842
tox21,random,NR-Aromatase,random_forest,0.965,0.167,0.212,0.825
tox21,random,NR-Aromatase,logistic_regression,0.948,0.318,0.293,0.738
tox21,random,NR-ER,random_forest,0.887,0.33,0.323,0.701
tox21,random,NR-ER,logistic_regression,0.788,0.246,0.126,0.65
tox21,random,NR-ER-LBD,random_forest,0.966,0.343,0.397,0.829
tox21,random,NR-ER-LBD,logistic_regression,0.943,0.316,0.286,0.666
tox21,random,NR-PPAR-gamma,random_forest,0.968,0.0,-0.01,0.821
tox21,random,NR-PPAR-gamma,logistic_regression,0.968,0.333,0.325,0.738
tox21,random,SR-ARE,random_forest,0.862,0.245,0.245,0.772
tox21,random,SR-ARE,logistic_regression,0.803,0.321,0.206,0.639
tox21,random,SR-ATAD5,random_forest,0.963,0.071,0.09,0.842
tox21,random,SR-ATAD5,logistic_regression,0.944,0.235,0.207,0.765
tox21,random,SR-HSE,random_forest,0.956,0.125,0.252,0.756
tox21,random,SR-HSE,logistic_regression,0.915,0.229,0.186,0.7
tox21,random,SR-MMP,random_forest,0.864,0.443,0.428,0.88
tox21,random,SR-MMP,logistic_regression,0.803,0.438,0.319,0.781
tox21,random,SR-p53,random_forest,0.948,0.222,0.344,0.86
tox21,random,SR-p53,logistic_regression,0.928,0.351,0.315,0.738
tox21,datasail_full,NR-AR,random_forest,0.987,0.0,0.0,0.5
tox21,datasail_full,NR-AR,logistic_regression,0.979,0.0,-0.01,0.508
tox21,datasail_full,NR-AR-LBD,random_forest,0.981,0.0,0.0,0.536
tox21,datasail_full,NR-AR-LBD,logistic_regression,0.975,0.0,-0.011,0.507
tox21,datasail_full,NR-AhR,random_forest,0.917,0.282,0.317,0.874
tox21,datasail_full,NR-AhR,logistic_regression,0.83,0.393,0.337,0.813
tox21,datasail_full,NR-Aromatase,random_forest,0.972,0.0,0.0,0.85
tox21,datasail_full,NR-Aromatase,logistic_regression,0.952,0.069,0.045,0.63
tox21,datasail_full,NR-ER,random_forest,0.911,0.07,0.119,0.614
