dataset,model,split,mcc_mean,mcc_std,auc_mean,auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std
bace,logistic_regression,datasail_full,0.21,,0.65,,0.36,,0.69,
bace,logistic_regression,datasail_scaled_random,-0.01,,0.51,,0.08,,0.72,
bace,logistic_regression,datasail_scaled_stratified,0.13,,0.62,,0.36,,0.65,
bace,logistic_regression,random,0.59,,0.83,,0.78,,0.8,
bace,random_forest,datasail_full,0.16,,0.72,,0.23,,0.68,
bace,random_forest,datasail_scaled_random,0.0,,0.72,,0.0,,0.75,
bace,random_forest,datasail_scaled_stratified,0.12,,0.8,,0.14,,0.77,
bace,random_forest,random,0.58,,0.87,,0.77,,0.79,
bbbp,logistic_regression,datasail_full,0.21,,0.76,,0.91,,0.84,
bbbp,logistic_regression,datasail_scaled_random,0.33,,0.81,,0.91,,0.84,
bbbp,logistic_regression,datasail_scaled_stratified,0.46,,0.76,,0.93,,0.88,
bbbp,logistic_regression,random,0.6,,0.88,,0.9,,0.85,
bbbp,random_forest,datasail_full,0.16,,0.72,,0.92,,0.85,
bbbp,random_forest,datasail_scaled_random,0.35,,0.77,,0.92,,0.86,
bbbp,random_forest,datasail_scaled_stratified,0.32,,0.77,,0.93,,0.88,
bbbp,random_forest,random,0.64,,0.92,,0.92,,0.87,
hiv,logistic_regression,datasail_scaled_random,0.19,,0.68,,0.25,,0.88,
hiv,logistic_regression,datasail_scaled_stratified,0.29,,0.74,,0.33,,0.92,
hiv,logistic_regression,random,0.35,,0.79,,0.37,,0.95,
hiv,random_forest,datasail_scaled_random,0.43,,0.84,,0.34,,0.95,
hiv,random_forest,datasail_scaled_stratified,0.24,,0.87,,0.17,,0.94,
hiv,random_forest,random,0.51,,0.84,,0.49,,0.97,
tox21,logistic_regression,datasail_full,0.14,0.14,0.63,0.12,0.18,0.16,0.91,0.07
tox21,logistic_regression,datasail_scaled_random,0.12,0.09,0.67,0.1,0.15,0.12,0.92,0.08
tox21,logistic_regression,datasail_scaled_stratified,0.12,0.12,0.61,0.11,0.16,0.12,0.92,0.06
tox21,logistic_regression,random,0.28,0.08,0.72,0.06,0.34,0.08,0.9,0.07
tox21,random_forest,datasail_full,0.07,0.11,0.7,0.13,0.05,0.09,0.94,0.06
tox21,random_forest,datasail_scaled_random,0.14,0.15,0.73,0.12,0.11,0.13,0.95,0.04
tox21,random_forest,datasail_scaled_stratified,0.09,0.16,0.72,0.11,0.06,0.13,0.96,0.03
tox21,random_forest,random,0.33,0.18,0.81,0.06,0.29,0.18,0.94,0.04
