dataset,split,label,model,accuracy,f1,mcc,auc,precision,recall,pr_auc,train_pos_ratio,test_pos_ratio,train_size,test_size
bace,random,Class,random_forest,0.789,0.771,0.577,0.866,0.75,0.794,0.834,0.454,0.447,1059,152
bace,random,Class,logistic_regression,0.796,0.78,0.592,0.826,0.753,0.809,0.776,0.454,0.447,1059,152
bace,datasail_full,Class,random_forest,0.68,0.226,0.156,0.715,0.583,0.14,0.551,0.463,0.333,1040,150
bace,datasail_full,Class,logistic_regression,0.687,0.356,0.209,0.646,0.565,0.26,0.49,0.463,0.333,1040,150
bace,datasail_scaled_random,Class,random_forest,0.753,0.0,0.0,0.719,0.0,0.0,0.395,0.439,0.247,1025,170
bace,datasail_scaled_random,Class,logistic_regression,0.724,0.078,-0.014,0.514,0.222,0.048,0.276,0.439,0.247,1025,170
bace,datasail_scaled_stratified,Class,random_forest,0.767,0.136,0.123,0.805,0.5,0.079,0.485,0.444,0.233,1042,163
bace,datasail_scaled_stratified,Class,logistic_regression,0.65,0.36,0.129,0.615,0.314,0.421,0.344,0.444,0.233,1042,163
bbbp,random,p_np,random_forest,0.868,0.917,0.644,0.92,0.856,0.987,0.959,0.767,0.737,1426,205
bbbp,random,p_np,logistic_regression,0.854,0.904,0.604,0.878,0.876,0.934,0.927,0.767,0.737,1426,205
bbbp,datasail_full,p_np,random_forest,0.847,0.917,0.163,0.719,0.847,1.0,0.935,0.75,0.842,1460,203
bbbp,datasail_full,p_np,logistic_regression,0.842,0.912,0.214,0.755,0.86,0.971,0.934,0.75,0.842,1460,203
bbbp,datasail_scaled_random,p_np,random_forest,0.865,0.924,0.351,0.766,0.877,0.977,0.943,0.768,0.845,1423,207
bbbp,datasail_scaled_random,p_np,logistic_regression,0.845,0.911,0.329,0.807,0.886,0.937,0.955,0.768,0.845,1423,207
bbbp,datasail_scaled_stratified,p_np,random_forest,0.876,0.932,0.316,0.767,0.882,0.989,0.947,0.73,0.861,1411,202
bbbp,datasail_scaled_stratified,p_np,logistic_regression,0.876,0.929,0.458,0.757,0.921,0.937,0.928,0.73,0.861,1411,202
tox21,random,NR-AR,random_forest,0.965,0.49,0.559,0.774,1.0,0.324,0.449,0.042,0.052,5098,711
