dataset,model,split,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,train_pos_ratio_mean,train_pos_ratio_std,test_pos_ratio_mean,test_pos_ratio_std,distribution_gap_mean,distribution_gap_std,train_size_mean,test_size_mean
bace,logistic_regression,datasail_full,0.565,,0.26,,0.49,,0.463,,0.333,,0.13,,1040.0,150.0
bace,logistic_regression,datasail_scaled_random,0.222,,0.048,,0.276,,0.439,,0.247,,0.192,,1025.0,170.0
bace,logistic_regression,datasail_scaled_stratified,0.314,,0.421,,0.344,,0.444,,0.233,,0.211,,1042.0,163.0
bace,logistic_regression,random,0.753,,0.809,,0.776,,0.454,,0.447,,0.007,,1059.0,152.0
bace,random_forest,datasail_full,0.583,,0.14,,0.551,,0.463,,0.333,,0.13,,1040.0,150.0
bace,random_forest,datasail_scaled_random,0.0,,0.0,,0.395,,0.439,,0.247,,0.192,,1025.0,170.0
bace,random_forest,datasail_scaled_stratified,0.5,,0.079,,0.485,,0.444,,0.233,,0.211,,1042.0,163.0
bace,random_forest,random,0.75,,0.794,,0.834,,0.454,,0.447,,0.007,,1059.0,152.0
bbbp,logistic_regression,datasail_full,0.86,,0.971,,0.934,,0.75,,0.842,,0.092,,1460.0,203.0
bbbp,logistic_regression,datasail_scaled_random,0.886,,0.937,,0.955,,0.768,,0.845,,0.077,,1423.0,207.0
bbbp,logistic_regression,datasail_scaled_stratified,0.921,,0.937,,0.928,,0.73,,0.861,,0.131,,1411.0,202.0
bbbp,logistic_regression,random,0.876,,0.934,,0.927,,0.767,,0.737,,0.03,,1426.0,205.0
bbbp,random_forest,datasail_full,0.847,,1.0,,0.935,,0.75,,0.842,,0.092,,1460.0,203.0
bbbp,random_forest,datasail_scaled_random,0.877,,0.977,,0.943,,0.768,,0.845,,0.077,,1423.0,207.0
bbbp,random_forest,datasail_scaled_stratified,0.882,,0.989,,0.947,,0.73,,0.861,,0.131,,1411.0,202.0
bbbp,random_forest,random,0.856,,0.987,,0.959,,0.767,,0.737,,0.03,,1426.0,205.0
hiv,logistic_regression,datasail_scaled_random,0.219,,0.284,,0.155,,0.036,,0.067,,0.031,,28928.0,4115.0
hiv,logistic_regression,datasail_scaled_stratified,0.351,,0.312,,0.238,,0.028,,0.066,,0.038,,28883.0,4145.0
hiv,logistic_regression,random,0.353,,0.391,,0.32,,0.034,,0.037,,0.003,,28783.0,4113.0
hiv,random_forest,datasail_scaled_random,0.935,,0.211,,0.516,,0.036,,0.067,,0.031,,28928.0,4115.0
hiv,random_forest,datasail_scaled_stratified,0.667,,0.096,,0.508,,0.028,,0.066,,0.038,,28883.0,4145.0
hiv,random_forest,random,0.761,,0.358,,0.481,,0.034,,0.037,,0.003,,28783.0,4113.0
tox21,logistic_regression,datasail_full,0.201,0.168,0.183,0.186,0.176,0.157,0.08,0.056,0.064,0.057,0.02,0.016,4668.583,622.333
tox21,logistic_regression,datasail_scaled_random,0.185,0.148,0.169,0.152,0.136,0.076,0.077,0.057,0.049,0.039,0.028,0.035,4566.917,692.583
tox21,logistic_regression,datasail_scaled_stratified,0.154,0.117,0.183,0.15,0.124,0.079,0.094,0.06,0.043,0.028,0.051,0.039,4430.833,691.667
tox21,logistic_regression,random,0.348,0.107,0.335,0.074,0.284,0.102,0.078,0.05,0.075,0.051,0.01,0.007,4546.667,638.833
tox21,random_forest,datasail_full,0.254,0.329,0.031,0.054,0.213,0.212,0.08,0.056,0.064,0.057,0.02,0.016,4668.583,622.333
tox21,random_forest,datasail_scaled_random,0.393,0.412,0.067,0.084,0.205,0.146,0.077,0.057,0.049,0.039,0.028,0.035,4566.917,692.583
tox21,random_forest,datasail_scaled_stratified,0.31,0.46,0.039,0.082,0.229,0.16,0.094,0.06,0.043,0.028,0.051,0.039,4430.833,691.667
tox21,random_forest,random,0.692,0.324,0.189,0.125,0.406,0.137,0.078,0.05,0.075,0.051,0.01,0.007,4546.667,638.833
