dataset,split,mean_max_similarity,std_max_similarity,leakage_fraction,threshold,train_sample_size,test_sample_size
bace,random,0.789,0.105,0.849,0.7,1059,152
bace,datasail_full,0.344,0.149,0.073,0.7,1040,150
bace,datasail_scaled_random,0.362,0.121,0.041,0.7,1025,170
bace,datasail_scaled_stratified,0.367,0.112,0.012,0.7,1042,163
bbbp,random,0.56,0.213,0.278,0.7,1426,205
bbbp,datasail_full,0.313,0.113,0.02,0.7,1460,203
bbbp,datasail_scaled_random,0.437,0.169,0.092,0.7,1423,207
bbbp,datasail_scaled_stratified,0.425,0.187,0.094,0.7,1411,202
tox21,random,0.57,0.19,0.241,0.7,5475,783
tox21,datasail_full,0.411,0.127,0.011,0.7,5684,704
tox21,datasail_scaled_random,0.486,0.171,0.127,0.7,5438,798
tox21,datasail_scaled_stratified,0.394,0.148,0.042,0.7,5467,786
hiv,random,0.606,0.177,0.334,0.7,28783,4113
hiv,datasail_scaled_random,0.386,0.157,0.056,0.7,28928,4115
hiv,datasail_scaled_stratified,0.534,0.151,0.163,0.7,28883,4145
