ID	Split
mol_0	val
mol_1	val
mol_2	train
mol_3	test
mol_4	train
mol_5	val
mol_6	train
mol_7	train
mol_8	train
mol_9	train
mol_10	train
mol_11	train
mol_12	train
mol_13	val
mol_14	train
mol_15	val
mol_16	test
mol_17	train
mol_18	train
mol_19	val
mol_20	train
mol_21	train
mol_22	train
mol_23	train
mol_24	val
mol_25	test
mol_26	train
mol_27	train
mol_28	train
mol_29	train
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	train
mol_35	val
mol_36	train
mol_37	val
mol_38	train
mol_39	train
mol_40	val
mol_41	train
mol_42	val
mol_43	val
mol_44	train
mol_45	train
mol_46	val
mol_47	train
mol_48	train
mol_49	val
mol_50	train
mol_51	test
mol_52	train
mol_53	val
mol_54	train
mol_55	train
mol_56	train
mol_57	train
mol_58	val
mol_59	test
mol_60	train
mol_61	train
mol_62	train
mol_63	train
mol_64	train
mol_65	train
mol_66	train
mol_67	test
mol_68	train
mol_69	train
mol_70	train
mol_71	train
mol_72	train
mol_73	val
mol_74	train
mol_75	val
mol_76	val
mol_77	val
mol_78	train
mol_79	train
mol_80	train
mol_81	train
mol_82	train
mol_83	test
mol_84	train
mol_85	train
mol_86	val
mol_87	train
mol_88	train
mol_89	train
mol_90	train
mol_91	val
mol_92	val
mol_93	val
mol_94	train
mol_95	train
mol_96	train
mol_97	val
mol_98	val
mol_99	train
mol_100	train
mol_101	train
mol_102	test
mol_103	val
mol_104	val
mol_105	train
mol_106	val
mol_107	train
mol_108	train
mol_109	train
mol_110	train
mol_111	val
mol_112	train
mol_113	train
mol_114	val
mol_115	train
mol_116	train
mol_117	train
mol_118	train
mol_119	val
mol_120	val
mol_121	train
mol_122	train
mol_123	train
mol_124	train
mol_125	train
mol_126	test
mol_127	train
mol_128	train
mol_129	train
mol_130	train
mol_131	val
mol_132	test
mol_133	train
mol_134	train
mol_135	train
mol_136	train
mol_137	train
mol_138	train
mol_139	val
mol_140	train
mol_141	val
mol_142	train
mol_143	train
mol_144	train
mol_145	train
mol_146	train
mol_147	test
mol_148	train
mol_149	train
mol_150	train
mol_151	train
mol_152	train
mol_153	train
mol_154	train
mol_155	test
mol_156	val
mol_157	train
mol_158	train
mol_159	test
mol_160	test
mol_161	test
mol_162	train
mol_163	train
mol_164	train
mol_165	val
mol_166	val
mol_167	test
mol_168	train
mol_169	train
mol_170	test
mol_171	train
mol_172	train
mol_173	train
mol_174	train
mol_175	val
mol_176	test
mol_177	train
mol_178	train
mol_179	train
mol_180	train
mol_181	train
mol_182	train
mol_183	test
mol_184	train
mol_185	train
mol_186	train
mol_187	train
mol_188	train
mol_189	test
mol_190	test
mol_191	train
mol_192	train
mol_193	train
mol_194	train
mol_195	train
mol_196	val
mol_197	train
mol_198	train
mol_199	train
mol_200	test
mol_201	train
mol_202	train
mol_203	train
mol_204	val
mol_205	train
mol_206	val
mol_207	train
mol_208	test
mol_209	train
mol_210	train
mol_211	train
mol_212	val
mol_213	val
mol_214	train
mol_215	test
mol_216	train
mol_217	train
mol_218	train
mol_219	train
mol_220	train
mol_221	val
mol_222	train
mol_223	train
mol_224	val
mol_225	train
mol_226	test
mol_227	val
mol_228	val
mol_229	train
mol_230	train
mol_231	train
mol_232	train
mol_233	train
mol_234	train
mol_235	val
mol_236	train
mol_237	test
mol_238	test
mol_239	train
mol_240	train
mol_241	train
mol_242	train
mol_243	val
mol_244	train
mol_245	train
mol_246	train
mol_247	train
mol_248	train
mol_249	test
mol_250	train
mol_251	train
mol_252	train
mol_253	train
mol_254	train
mol_255	train
mol_256	test
mol_257	train
mol_258	test
mol_259	test
mol_260	train
mol_261	train
mol_262	train
mol_263	train
mol_264	val
mol_265	train
mol_266	val
mol_267	train
mol_268	train
mol_269	val
mol_270	train
mol_271	val
mol_272	train
mol_273	train
mol_274	train
mol_275	val
mol_276	train
mol_277	train
mol_278	train
mol_279	test
mol_280	val
mol_281	val
mol_282	train
mol_283	val
mol_284	train
mol_285	train
mol_286	train
mol_287	train
mol_288	train
mol_289	train
mol_290	train
mol_291	train
mol_292	train
mol_293	train
mol_294	train
mol_295	train
mol_296	val
mol_297	train
mol_298	train
mol_299	train
mol_300	train
mol_301	train
mol_302	val
mol_303	train
mol_304	train
mol_305	train
mol_306	test
mol_307	train
mol_308	val
mol_309	train
mol_310	train
mol_311	val
mol_312	train
mol_313	train
mol_314	val
mol_315	val
mol_316	train
mol_317	train
mol_318	val
mol_319	test
mol_320	val
mol_321	val
mol_322	train
mol_323	val
mol_324	test
mol_325	train
mol_326	train
mol_327	val
mol_328	train
mol_329	train
mol_330	test
mol_331	train
mol_332	train
mol_333	train
mol_334	train
mol_335	train
mol_336	test
mol_337	val
mol_338	train
mol_339	train
mol_340	test
mol_341	train
mol_342	train
mol_343	val
mol_344	test
mol_345	train
mol_346	train
mol_347	train
mol_348	test
mol_349	train
mol_350	train
mol_351	train
mol_352	train
mol_353	train
mol_354	val
mol_355	train
mol_356	test
mol_357	train
mol_358	val
mol_359	train
mol_360	test
mol_361	val
mol_362	train
mol_363	val
mol_364	train
mol_365	train
mol_366	val
mol_367	train
mol_368	test
mol_369	train
mol_370	train
mol_371	train
mol_372	train
mol_373	val
mol_374	val
mol_375	val
mol_376	train
mol_377	train
