ID	Cluster_ID
mol_0	2
mol_1	9
mol_2	9
mol_3	5
mol_4	9
mol_5	5
mol_6	9
mol_7	1
mol_8	6
mol_9	9
mol_10	9
mol_11	9
mol_12	9
mol_13	9
mol_14	5
mol_15	9
mol_16	9
mol_17	9
mol_18	9
mol_19	9
mol_20	6
mol_21	9
mol_22	6
mol_23	8
mol_24	9
mol_25	8
mol_26	2
mol_27	1
mol_28	9
mol_29	6
mol_30	2
mol_31	9
mol_32	9
mol_33	2
mol_34	8
mol_35	1
mol_36	7
mol_37	4
mol_38	9
mol_39	4
mol_40	9
mol_41	3
mol_42	8
mol_43	9
mol_44	6
mol_45	7
mol_46	6
mol_47	9
mol_48	4
mol_49	9
mol_50	3
mol_51	3
mol_52	9
mol_53	4
mol_54	0
mol_55	9
mol_56	2
mol_57	0
mol_58	8
mol_59	0
mol_60	4
mol_61	3
mol_62	9
mol_63	6
mol_64	8
mol_65	2
mol_66	9
mol_67	3
mol_68	4
mol_69	1
mol_70	6
mol_71	2
mol_72	7
mol_73	0
mol_74	9
mol_75	5
mol_76	4
mol_77	4
mol_78	2
mol_79	4
mol_80	9
mol_81	5
mol_82	8
mol_83	7
mol_84	3
mol_85	3
mol_86	8
mol_87	2
mol_88	2
mol_89	9
mol_90	4
mol_91	3
mol_92	0
mol_93	1
mol_94	3
mol_95	0
mol_96	9
mol_97	4
mol_98	9
mol_99	2
mol_100	2
mol_101	9
mol_102	9
mol_103	2
mol_104	5
mol_105	2
mol_106	5
mol_107	2
mol_108	0
mol_109	2
mol_110	9
mol_111	4
mol_112	2
mol_113	2
mol_114	9
mol_115	2
mol_116	1
mol_117	0
mol_118	8
mol_119	9
mol_120	1
mol_121	2
mol_122	4
mol_123	0
mol_124	8
mol_125	2
mol_126	4
mol_127	2
mol_128	2
mol_129	7
mol_130	2
mol_131	2
mol_132	2
mol_133	2
mol_134	9
mol_135	0
mol_136	2
mol_137	1
mol_138	2
mol_139	2
mol_140	4
mol_141	5
mol_142	2
mol_143	9
mol_144	5
mol_145	8
mol_146	0
mol_147	0
mol_148	9
mol_149	9
mol_150	2
mol_151	1
mol_152	1
mol_153	2
mol_154	2
mol_155	2
mol_156	2
mol_157	2
mol_158	9
mol_159	0
mol_160	2
mol_161	1
mol_162	2
mol_163	2
mol_164	1
mol_165	2
mol_166	2
mol_167	1
mol_168	2
mol_169	0
mol_170	0
mol_171	2
mol_172	2
mol_173	1
mol_174	2
mol_175	2
mol_176	2
mol_177	0
mol_178	1
mol_179	1
mol_180	1
mol_181	0
mol_182	2
mol_183	2
mol_184	2
mol_185	1
mol_186	1
mol_187	1
mol_188	2
mol_189	2
mol_190	2
mol_191	2
mol_192	2
mol_193	2
mol_194	2
mol_195	0
mol_196	2
mol_197	2
mol_198	2
mol_199	2
mol_200	2
mol_201	2
mol_202	2
mol_203	2
mol_204	2
mol_205	2
mol_206	2
mol_207	9
mol_208	9
mol_209	8
mol_210	2
