ID	Cluster_ID
mol_0	6
mol_1	5
mol_2	7
mol_3	0
mol_4	1
mol_5	1
mol_6	6
mol_7	1
mol_8	1
mol_9	7
mol_10	5
mol_11	7
mol_12	3
mol_13	8
mol_14	0
mol_15	1
mol_16	1
mol_17	6
mol_18	6
mol_19	2
mol_20	1
mol_21	2
mol_22	1
mol_23	4
mol_24	2
mol_25	8
mol_26	1
mol_27	4
mol_28	6
mol_29	0
mol_30	2
mol_31	1
mol_32	2
mol_33	8
mol_34	6
mol_35	2
mol_36	7
mol_37	1
mol_38	3
mol_39	2
mol_40	1
mol_41	5
mol_42	1
mol_43	2
mol_44	9
mol_45	6
mol_46	5
mol_47	2
mol_48	0
mol_49	0
mol_50	1
mol_51	0
mol_52	6
mol_53	1
mol_54	7
mol_55	9
mol_56	5
mol_57	4
mol_58	1
mol_59	2
mol_60	8
mol_61	2
mol_62	1
mol_63	0
mol_64	6
mol_65	1
mol_66	7
mol_67	1
mol_68	9
mol_69	9
mol_70	7
mol_71	1
mol_72	9
mol_73	3
mol_74	4
mol_75	5
mol_76	6
mol_77	0
mol_78	8
mol_79	0
mol_80	1
mol_81	2
mol_82	0
mol_83	2
mol_84	2
mol_85	3
mol_86	0
mol_87	7
mol_88	8
mol_89	9
mol_90	3
mol_91	7
mol_92	7
mol_93	1
mol_94	7
mol_95	7
mol_96	7
mol_97	6
mol_98	6
mol_99	7
mol_100	4
mol_101	7
mol_102	5
mol_103	1
mol_104	8
mol_105	4
mol_106	1
mol_107	1
mol_108	1
mol_109	0
mol_110	6
mol_111	1
mol_112	1
mol_113	8
mol_114	7
mol_115	6
mol_116	3
mol_117	1
mol_118	3
mol_119	8
mol_120	5
mol_121	2
mol_122	1
mol_123	6
mol_124	6
mol_125	8
mol_126	1
mol_127	7
mol_128	6
mol_129	6
mol_130	2
mol_131	9
mol_132	2
mol_133	6
mol_134	0
mol_135	1
mol_136	2
mol_137	6
mol_138	6
mol_139	2
mol_140	8
mol_141	6
mol_142	3
mol_143	1
mol_144	6
mol_145	1
mol_146	6
mol_147	8
mol_148	1
mol_149	3
mol_150	1
mol_151	7
mol_152	2
mol_153	6
mol_154	0
mol_155	3
mol_156	7
mol_157	8
mol_158	4
mol_159	9
mol_160	1
mol_161	9
mol_162	3
mol_163	1
mol_164	1
mol_165	1
mol_166	5
mol_167	2
mol_168	5
mol_169	1
mol_170	1
mol_171	3
mol_172	1
mol_173	3
mol_174	9
mol_175	8
mol_176	5
mol_177	2
mol_178	8
mol_179	5
mol_180	8
mol_181	2
mol_182	1
mol_183	8
mol_184	9
mol_185	8
mol_186	1
mol_187	8
mol_188	8
mol_189	1
mol_190	4
mol_191	9
mol_192	6
mol_193	8
mol_194	2
mol_195	8
mol_196	5
mol_197	2
mol_198	3
mol_199	8
mol_200	8
mol_201	0
mol_202	3
mol_203	2
mol_204	0
mol_205	5
mol_206	8
mol_207	5
mol_208	4
mol_209	1
mol_210	9
mol_211	0
mol_212	7
mol_213	1
mol_214	8
mol_215	2
mol_216	1
mol_217	1
mol_218	2
mol_219	3
mol_220	9
mol_221	9
mol_222	0
mol_223	5
mol_224	0
mol_225	1
mol_226	2
mol_227	2
mol_228	1
mol_229	5
mol_230	1
mol_231	3
mol_232	2
mol_233	2
mol_234	1
mol_235	2
mol_236	1
mol_237	5
mol_238	1
mol_239	8
mol_240	8
mol_241	3
mol_242	2
mol_243	4
mol_244	7
mol_245	9
mol_246	1
mol_247	4
mol_248	2
mol_249	0
mol_250	8
mol_251	9
mol_252	5
mol_253	2
mol_254	9
mol_255	6
mol_256	8
mol_257	3
mol_258	6
mol_259	2
mol_260	9
mol_261	6
mol_262	8
mol_263	8
mol_264	8
mol_265	2
mol_266	4
mol_267	3
mol_268	9
mol_269	9
mol_270	2
mol_271	8
mol_272	2
mol_273	9
mol_274	8
mol_275	9
mol_276	0
mol_277	2
mol_278	9
mol_279	8
mol_280	8
mol_281	2
mol_282	5
mol_283	3
mol_284	8
mol_285	2
mol_286	6
mol_287	2
mol_288	2
mol_289	2
mol_290	5
mol_291	5
mol_292	8
mol_293	8
mol_294	1
mol_295	2
mol_296	3
mol_297	2
mol_298	9
mol_299	5
mol_300	6
mol_301	8
mol_302	8
mol_303	9
mol_304	2
mol_305	9
mol_306	8
mol_307	6
mol_308	5
mol_309	5
mol_310	9
mol_311	4
mol_312	5
mol_313	1
mol_314	5
mol_315	9
mol_316	5
mol_317	9
mol_318	0
mol_319	9
mol_320	1
mol_321	5
mol_322	1
mol_323	9
mol_324	8
mol_325	3
mol_326	9
mol_327	2
mol_328	5
mol_329	8
mol_330	3
mol_331	2
mol_332	2
mol_333	4
mol_334	2
mol_335	3
mol_336	6
mol_337	8
mol_338	0
mol_339	4
mol_340	2
mol_341	0
mol_342	1
mol_343	2
mol_344	4
mol_345	8
mol_346	2
mol_347	9
mol_348	9
mol_349	1
mol_350	1
mol_351	1
mol_352	2
mol_353	2
mol_354	1
mol_355	5
mol_356	5
mol_357	0
mol_358	3
mol_359	2
mol_360	1
mol_361	1
mol_362	8
mol_363	2
mol_364	8
mol_365	2
mol_366	4
mol_367	3
mol_368	2
mol_369	9
mol_370	9
mol_371	4
mol_372	5
mol_373	8
mol_374	5
mol_375	4
mol_376	5
