ID	Split
mol_0	val
mol_1	train
mol_2	train
mol_3	val
mol_4	train
mol_5	train
mol_6	val
mol_7	train
mol_8	train
mol_9	train
mol_10	train
mol_11	train
mol_12	train
mol_13	train
mol_14	val
mol_15	train
mol_16	train
mol_17	val
mol_18	val
mol_19	train
mol_20	train
mol_21	train
mol_22	train
mol_23	val
mol_24	train
mol_25	train
mol_26	train
mol_27	val
mol_28	val
mol_29	val
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	val
mol_35	train
mol_36	train
mol_37	train
mol_38	train
mol_39	train
mol_40	train
mol_41	train
mol_42	train
mol_43	train
mol_44	test
mol_45	val
mol_46	train
mol_47	train
mol_48	val
mol_49	val
mol_50	train
mol_51	val
mol_52	val
mol_53	train
mol_54	train
mol_55	test
mol_56	train
mol_57	val
mol_58	train
mol_59	train
mol_60	train
mol_61	train
mol_62	train
mol_63	val
mol_64	val
mol_65	train
mol_66	train
mol_67	train
mol_68	test
mol_69	test
mol_70	train
mol_71	train
mol_72	test
mol_73	train
mol_74	val
mol_75	train
mol_76	val
mol_77	val
mol_78	train
mol_79	val
mol_80	train
mol_81	train
mol_82	val
mol_83	train
mol_84	train
mol_85	train
mol_86	val
mol_87	train
mol_88	train
mol_89	test
mol_90	train
mol_91	train
mol_92	train
mol_93	train
mol_94	train
mol_95	train
mol_96	train
mol_97	val
mol_98	val
mol_99	train
mol_100	val
mol_101	train
mol_102	train
mol_103	train
mol_104	train
mol_105	val
mol_106	train
mol_107	train
mol_108	train
mol_109	val
mol_110	val
mol_111	train
mol_112	train
mol_113	train
mol_114	train
mol_115	val
mol_116	train
mol_117	train
mol_118	train
mol_119	train
mol_120	train
mol_121	train
mol_122	train
mol_123	val
mol_124	val
mol_125	train
mol_126	train
mol_127	train
mol_128	val
mol_129	val
mol_130	train
mol_131	test
mol_132	train
mol_133	val
mol_134	val
mol_135	train
mol_136	train
mol_137	val
mol_138	val
mol_139	train
mol_140	train
mol_141	val
mol_142	train
mol_143	train
mol_144	val
mol_145	train
mol_146	val
mol_147	train
mol_148	train
mol_149	train
mol_150	train
mol_151	train
mol_152	train
mol_153	val
mol_154	val
mol_155	train
mol_156	train
mol_157	train
mol_158	val
mol_159	test
mol_160	train
mol_161	test
mol_162	train
mol_163	train
mol_164	train
mol_165	train
mol_166	train
mol_167	train
mol_168	train
mol_169	train
mol_170	train
mol_171	train
mol_172	train
mol_173	train
mol_174	test
mol_175	train
mol_176	train
mol_177	train
mol_178	train
mol_179	train
mol_180	train
mol_181	train
mol_182	train
mol_183	train
mol_184	test
mol_185	train
mol_186	train
mol_187	train
mol_188	train
mol_189	train
mol_190	val
mol_191	test
mol_192	val
mol_193	train
mol_194	train
mol_195	train
mol_196	train
mol_197	train
mol_198	train
mol_199	train
mol_200	train
mol_201	val
mol_202	train
mol_203	train
mol_204	val
mol_205	train
mol_206	train
mol_207	train
mol_208	val
mol_209	train
mol_210	test
mol_211	val
mol_212	train
mol_213	train
mol_214	train
mol_215	train
mol_216	train
mol_217	train
mol_218	train
mol_219	train
mol_220	test
mol_221	test
mol_222	val
mol_223	train
mol_224	val
mol_225	train
mol_226	train
mol_227	train
mol_228	train
mol_229	train
mol_230	train
mol_231	train
mol_232	train
mol_233	train
mol_234	train
mol_235	train
mol_236	train
mol_237	train
mol_238	train
mol_239	train
mol_240	train
mol_241	train
mol_242	train
mol_243	val
mol_244	train
mol_245	test
mol_246	train
mol_247	val
mol_248	train
mol_249	val
mol_250	train
mol_251	test
mol_252	train
mol_253	train
mol_254	test
mol_255	val
mol_256	train
mol_257	train
mol_258	val
mol_259	train
mol_260	test
mol_261	val
mol_262	train
mol_263	train
mol_264	train
mol_265	train
mol_266	val
mol_267	train
mol_268	test
mol_269	test
mol_270	train
mol_271	train
mol_272	train
mol_273	test
mol_274	train
mol_275	test
mol_276	val
mol_277	train
mol_278	test
mol_279	train
mol_280	train
mol_281	train
mol_282	train
mol_283	train
mol_284	train
mol_285	train
mol_286	val
mol_287	train
mol_288	train
mol_289	train
mol_290	train
mol_291	train
mol_292	train
mol_293	train
mol_294	train
mol_295	train
mol_296	train
mol_297	train
mol_298	test
mol_299	train
mol_300	val
mol_301	train
mol_302	train
mol_303	test
mol_304	train
mol_305	test
mol_306	train
mol_307	val
mol_308	train
mol_309	train
mol_310	test
mol_311	val
mol_312	train
mol_313	train
mol_314	train
mol_315	test
mol_316	train
mol_317	test
mol_318	val
mol_319	test
mol_320	train
mol_321	train
mol_322	train
mol_323	test
mol_324	train
mol_325	train
mol_326	test
mol_327	train
mol_328	train
mol_329	train
mol_330	train
mol_331	train
mol_332	train
mol_333	val
mol_334	train
mol_335	train
mol_336	val
mol_337	train
mol_338	val
mol_339	val
mol_340	train
mol_341	val
mol_342	train
mol_343	train
mol_344	val
mol_345	train
mol_346	train
mol_347	test
mol_348	test
mol_349	train
mol_350	train
mol_351	train
mol_352	train
mol_353	train
mol_354	train
mol_355	train
mol_356	train
mol_357	val
mol_358	train
mol_359	train
mol_360	train
mol_361	train
mol_362	train
mol_363	train
mol_364	train
mol_365	train
mol_366	val
mol_367	train
mol_368	train
mol_369	test
mol_370	test
mol_371	val
mol_372	train
mol_373	train
mol_374	train
mol_375	val
mol_376	train
