ID	Split
mol_0	train
mol_1	train
mol_2	train
mol_3	train
mol_4	val
mol_5	train
mol_6	train
mol_7	val
mol_8	train
mol_9	test
mol_10	train
mol_11	test
mol_12	train
mol_13	train
mol_14	train
mol_15	val
mol_16	train
mol_17	val
mol_18	val
mol_19	train
mol_20	train
mol_21	train
mol_22	train
mol_23	train
mol_24	train
mol_25	train
mol_26	train
mol_27	train
mol_28	train
mol_29	train
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	train
mol_312	train
mol_35	train
mol_36	val
mol_37	train
mol_38	train
mol_39	train
mol_40	train
mol_41	train
mol_42	train
mol_43	val
mol_44	train
mol_45	train
mol_46	train
mol_47	train
mol_48	train
mol_49	train
mol_50	train
mol_51	train
mol_52	train
mol_53	train
mol_54	train
mol_55	train
mol_56	val
mol_303	val
mol_57	train
mol_58	train
mol_59	train
mol_60	train
mol_61	train
mol_62	val
mol_63	train
mol_64	train
mol_65	train
mol_66	train
mol_67	train
mol_68	test
mol_69	test
mol_70	train
mol_71	train
mol_72	train
mol_73	train
mol_74	val
mol_75	train
mol_76	train
mol_77	train
mol_78	test
mol_79	train
mol_80	val
mol_81	train
mol_82	train
mol_83	train
mol_84	train
mol_85	train
mol_86	train
mol_87	train
mol_88	train
mol_89	train
mol_90	train
mol_91	train
mol_92	train
mol_93	train
mol_94	train
mol_95	test
mol_96	test
mol_97	train
mol_98	train
mol_99	train
mol_100	train
mol_101	val
mol_102	val
mol_103	test
mol_104	val
mol_105	val
mol_106	train
mol_107	train
mol_108	val
mol_109	train
mol_110	val
mol_111	train
mol_112	train
mol_113	train
mol_114	train
mol_115	train
mol_116	val
mol_117	val
mol_118	train
mol_119	val
mol_120	train
mol_121	train
mol_122	val
mol_123	val
mol_124	val
mol_125	train
mol_126	train
mol_127	test
mol_128	train
mol_129	test
mol_130	train
mol_131	val
mol_132	train
mol_133	train
mol_134	train
mol_135	train
mol_136	train
mol_137	train
mol_138	train
mol_139	train
mol_140	train
mol_141	val
mol_142	train
mol_143	train
mol_144	train
mol_145	train
mol_146	val
mol_147	train
mol_148	train
mol_149	train
mol_150	val
mol_151	train
mol_152	train
mol_153	train
mol_154	train
mol_155	train
mol_156	train
mol_157	val
mol_158	train
mol_159	train
mol_160	val
mol_161	train
mol_162	train
mol_163	train
mol_164	train
mol_165	test
mol_166	train
mol_167	test
mol_168	val
mol_169	train
mol_170	train
mol_171	val
mol_172	train
mol_173	train
mol_174	train
mol_175	train
mol_176	test
mol_177	train
mol_178	train
mol_179	train
mol_180	train
mol_181	train
mol_182	train
mol_183	train
mol_184	train
mol_185	train
mol_186	train
mol_187	train
mol_188	test
mol_189	train
mol_190	train
mol_191	val
mol_192	val
mol_193	train
mol_194	train
mol_195	train
mol_196	train
mol_197	train
mol_198	test
mol_199	train
mol_200	train
mol_201	val
mol_202	val
mol_203	train
mol_204	val
mol_205	train
mol_206	train
mol_207	train
mol_208	train
mol_209	train
mol_210	val
mol_211	val
mol_212	train
mol_213	train
mol_214	train
mol_215	train
mol_216	train
mol_217	test
mol_218	val
mol_219	train
mol_220	test
mol_221	train
mol_222	train
mol_223	train
mol_224	test
mol_225	train
mol_226	val
mol_227	train
mol_228	train
mol_229	test
mol_230	val
mol_231	val
mol_232	val
mol_233	train
mol_234	train
mol_235	train
