ID	Split
mol_0	train
mol_1	val
mol_591	val
mol_2	train
mol_413	train
mol_3	train
mol_665	train
mol_4	train
mol_5	train
mol_6	train
mol_7	train
mol_8	train
mol_9	val
mol_10	test
mol_11	train
mol_12	val
mol_433	val
mol_13	train
mol_14	train
mol_1902	train
mol_15	train
mol_16	train
mol_550	train
mol_17	train
mol_18	val
mol_19	test
mol_20	val
mol_21	train
mol_22	train
mol_671	train
mol_23	train
mol_24	train
mol_25	val
mol_26	val
mol_27	test
mol_28	test
mol_335	test
mol_29	train
mol_30	val
mol_31	train
mol_32	train
mol_666	train
mol_33	train
mol_531	train
mol_34	train
mol_35	val
mol_36	test
mol_673	test
mol_37	train
mol_38	val
mol_39	val
mol_40	train
mol_41	val
mol_42	train
mol_43	train
mol_44	train
mol_45	train
mol_486	train
mol_46	train
mol_47	train
mol_48	train
mol_564	train
mol_616	train
mol_49	train
mol_506	train
mol_50	train
mol_51	train
mol_455	train
mol_52	val
mol_53	train
mol_54	val
mol_688	val
mol_55	train
mol_487	train
mol_56	train
mol_57	val
mol_58	train
mol_563	train
mol_615	train
mol_60	test
mol_62	train
mol_63	train
mol_64	train
mol_65	val
mol_66	train
mol_67	train
mol_669	train
mol_68	test
mol_392	test
mol_69	train
mol_70	train
mol_589	train
mol_71	train
mol_72	val
mol_73	train
mol_533	train
mol_74	test
mol_75	val
mol_76	train
mol_77	train
mol_670	train
mol_78	train
mol_79	train
mol_80	val
mol_690	val
mol_81	train
mol_267	train
mol_567	train
mol_82	val
mol_83	train
mol_532	train
mol_1537	train
mol_84	test
mol_85	train
mol_451	train
mol_86	train
mol_87	train
mol_668	train
mol_88	train
mol_89	val
mol_90	train
mol_91	train
mol_667	train
mol_92	test
mol_93	val
mol_94	val
mol_386	val
mol_95	test
mol_310	test
mol_96	train
mol_97	train
mol_98	train
mol_99	val
mol_1943	val
mol_100	train
mol_1007	train
mol_101	test
mol_102	val
mol_103	test
mol_104	val
mol_105	train
mol_106	train
mol_107	train
mol_108	train
mol_109	test
mol_110	train
mol_111	train
mol_112	train
mol_113	train
mol_114	train
mol_115	train
mol_116	val
mol_117	train
mol_118	val
mol_119	train
mol_120	val
mol_121	train
mol_122	train
mol_123	val
mol_124	train
mol_125	train
mol_126	train
mol_1697	train
mol_127	train
mol_128	train
mol_129	train
mol_130	val
mol_131	train
mol_132	train
mol_133	train
mol_134	val
mol_135	train
mol_136	train
mol_137	train
mol_1458	train
mol_138	train
mol_139	train
mol_140	train
mol_141	train
mol_142	train
mol_143	train
mol_144	val
mol_145	val
mol_146	train
mol_147	train
mol_148	train
mol_149	val
mol_150	test
mol_151	val
mol_152	train
mol_153	test
mol_154	val
mol_155	val
mol_156	test
mol_157	train
mol_158	train
mol_159	train
mol_160	train
mol_161	test
mol_162	train
mol_163	test
mol_164	train
mol_165	train
mol_166	val
mol_167	train
mol_168	train
mol_169	val
mol_170	train
mol_171	val
mol_172	train
mol_173	val
mol_174	val
mol_1641	val
mol_175	val
mol_176	train
mol_177	val
mol_178	train
mol_179	val
mol_180	train
mol_181	train
mol_182	train
mol_183	val
mol_184	train
mol_185	train
mol_186	train
mol_187	train
mol_1975	train
mol_188	train
mol_189	train
mol_1504	train
mol_190	train
mol_191	test
mol_192	test
mol_193	train
mol_194	train
mol_195	val
mol_196	train
mol_197	test
mol_198	val
mol_199	train
mol_200	val
mol_201	val
mol_202	train
mol_203	train
mol_204	train
mol_205	val
mol_206	train
mol_207	train
mol_208	train
mol_209	test
mol_210	train
mol_211	train
mol_212	val
mol_213	train
mol_214	train
mol_215	train
mol_216	test
mol_217	train
mol_1593	train
mol_218	train
mol_219	train
mol_220	train
mol_221	train
mol_222	train
mol_223	train
mol_224	train
mol_225	val
mol_226	train
mol_227	test
mol_228	train
mol_229	train
mol_230	train
mol_231	train
mol_232	val
mol_233	train
mol_234	train
mol_235	train
mol_236	train
mol_237	test
mol_238	val
mol_239	val
mol_240	train
mol_241	train
mol_242	train
mol_243	train
mol_2027	train
mol_244	train
mol_245	val
mol_246	train
mol_247	val
mol_248	train
mol_249	val
mol_250	train
mol_2041	train
mol_251	test
mol_252	train
mol_253	val
mol_254	train
mol_255	val
mol_256	train
mol_257	test
mol_258	train
mol_259	train
mol_260	train
mol_261	test
mol_262	train
mol_263	test
mol_264	train
mol_265	val
mol_1310	val
mol_266	test
mol_268	train
mol_269	train
mol_270	test
mol_271	val
mol_272	test
mol_273	train
mol_274	train
mol_275	train
mol_276	train
mol_277	val
mol_278	val
mol_279	train
mol_280	test
mol_281	train
mol_282	val
mol_1877	val
mol_283	val
mol_284	test
mol_285	train
mol_286	train
mol_287	val
mol_288	test
mol_289	train
mol_290	val
mol_291	val
mol_292	train
mol_293	train
mol_294	train
mol_1384	train
mol_295	train
mol_296	val
mol_297	val
mol_298	test
mol_299	train
mol_300	val
mol_301	train
mol_302	train
mol_303	train
mol_1357	train
mol_304	train
mol_305	val
mol_306	val
mol_307	test
mol_308	val
mol_309	val
mol_311	val
mol_312	train
mol_313	test
mol_1912	test
mol_314	val
mol_315	train
mol_316	val
mol_317	val
mol_318	val
