ID	Cluster_ID
mol_0	9
mol_1	3
mol_591	3
mol_2	1
mol_413	1
mol_3	1
mol_665	1
mol_4	7
mol_5	7
mol_6	5
mol_7	9
mol_8	4
mol_9	3
mol_10	8
mol_11	5
mol_12	6
mol_433	6
mol_13	9
mol_14	9
mol_1902	9
mol_15	1
mol_16	1
mol_550	1
mol_17	9
mol_18	3
mol_19	8
mol_20	6
mol_21	9
mol_22	9
mol_671	9
mol_23	5
mol_24	1
mol_25	3
mol_26	3
mol_27	8
mol_28	8
mol_335	8
mol_29	7
mol_30	6
mol_31	1
mol_32	1
mol_666	1
mol_33	1
mol_531	1
mol_34	1
mol_35	3
mol_36	8
mol_673	8
mol_37	4
mol_38	3
mol_39	3
mol_40	9
mol_41	3
mol_42	9
mol_43	9
mol_44	9
mol_45	4
mol_486	4
mol_46	9
mol_47	7
mol_48	9
mol_564	9
mol_616	9
mol_49	1
mol_506	1
mol_50	5
mol_51	9
mol_455	9
mol_52	3
mol_53	5
mol_54	3
mol_688	3
mol_55	4
mol_487	4
mol_56	9
mol_57	3
mol_58	9
mol_563	9
mol_615	9
mol_60	8
mol_62	5
mol_63	9
mol_64	1
mol_65	3
mol_66	9
mol_67	1
mol_669	1
mol_68	8
mol_392	8
mol_69	7
mol_70	9
mol_589	9
mol_71	5
mol_72	3
mol_73	9
mol_533	9
mol_74	8
mol_75	3
mol_76	7
mol_77	1
mol_670	1
mol_78	5
mol_79	9
mol_80	3
mol_690	3
mol_81	9
mol_267	9
mol_567	9
mol_82	3
mol_83	9
mol_532	9
mol_1537	9
mol_84	8
mol_85	9
mol_451	9
mol_86	7
mol_87	1
mol_668	1
mol_88	5
mol_89	3
mol_90	5
mol_91	1
mol_667	1
mol_92	8
mol_93	3
mol_94	2
mol_386	2
mol_95	8
mol_310	8
mol_96	7
mol_97	9
mol_98	1
mol_99	3
mol_1943	3
mol_100	9
mol_1007	9
mol_101	8
mol_102	3
mol_103	8
mol_104	3
mol_105	7
mol_106	7
mol_107	0
mol_108	4
mol_109	8
mol_110	1
mol_111	5
mol_112	5
mol_113	4
mol_114	9
mol_115	5
mol_116	3
mol_117	5
mol_118	3
