ID	Cluster_ID
mol_0	8
mol_1	8
mol_2	8
mol_3	4
mol_4	0
mol_5	8
mol_6	4
mol_7	0
mol_8	8
mol_9	6
mol_10	7
mol_11	6
mol_12	8
mol_13	4
mol_14	8
mol_15	5
mol_16	8
mol_17	0
mol_18	5
mol_19	3
mol_20	8
mol_21	4
mol_22	1
mol_23	1
mol_24	8
mol_25	1
mol_26	1
mol_27	8
mol_28	1
mol_29	1
mol_30	8
mol_31	8
mol_32	3
mol_33	4
mol_34	3
mol_312	3
mol_35	1
mol_36	0
mol_37	3
mol_38	8
mol_39	8
mol_40	4
mol_41	8
mol_42	8
mol_43	9
mol_44	1
mol_45	8
mol_46	1
mol_47	1
mol_48	4
mol_49	1
mol_50	8
mol_51	8
mol_52	1
mol_53	1
mol_54	4
mol_55	3
mol_56	0
mol_303	0
mol_57	1
mol_58	1
mol_59	8
mol_60	4
mol_61	1
mol_62	5
mol_63	1
mol_64	1
mol_65	8
mol_66	8
mol_67	8
mol_68	6
mol_69	2
mol_70	3
mol_71	8
mol_72	8
mol_73	1
mol_74	0
mol_75	8
mol_76	3
mol_77	8
mol_78	6
mol_79	7
mol_80	5
mol_81	8
mol_82	1
mol_83	8
mol_84	1
mol_85	1
mol_86	8
mol_87	3
mol_88	3
mol_89	1
mol_90	4
mol_91	4
mol_92	4
mol_93	4
mol_94	8
mol_95	6
mol_96	6
mol_97	3
mol_98	3
mol_99	1
mol_100	1
mol_101	5
mol_102	9
mol_103	6
mol_104	5
mol_105	9
mol_106	8
mol_107	8
mol_108	0
mol_109	3
mol_110	0
mol_111	3
mol_112	1
mol_113	8
mol_114	4
mol_115	4
mol_116	9
mol_117	5
mol_118	8
mol_119	9
mol_120	4
mol_121	1
mol_122	5
mol_123	5
mol_124	0
mol_125	4
mol_126	3
mol_127	6
mol_128	3
mol_129	6
mol_130	7
mol_131	9
mol_132	8
mol_133	1
mol_134	1
mol_135	1
mol_136	1
mol_137	1
mol_138	1
mol_139	1
mol_140	4
mol_141	9
mol_142	4
mol_143	1
mol_144	1
mol_145	1
mol_146	0
mol_147	1
mol_148	8
mol_149	4
mol_150	5
mol_151	4
mol_152	3
mol_153	8
mol_154	8
mol_155	3
mol_156	8
mol_157	0
mol_158	1
mol_159	3
mol_160	5
mol_161	1
mol_162	8
mol_163	1
mol_164	8
mol_165	6
mol_166	3
mol_167	6
mol_168	5
mol_169	1
mol_170	8
mol_171	0
mol_172	1
mol_173	8
mol_174	8
mol_175	8
mol_176	6
mol_177	3
mol_178	4
mol_179	1
mol_180	8
mol_181	4
mol_182	3
mol_183	8
mol_184	3
mol_185	8
mol_186	4
mol_187	8
mol_188	6
mol_189	4
mol_190	1
mol_191	0
mol_192	0
mol_193	4
mol_194	8
mol_195	3
mol_196	7
mol_197	8
mol_198	2
mol_199	8
mol_200	8
mol_201	0
mol_202	5
mol_203	3
mol_204	5
mol_205	1
mol_206	8
mol_207	1
mol_208	3
mol_209	8
mol_210	5
mol_211	0
mol_212	3
mol_213	8
mol_214	1
mol_215	3
mol_216	4
mol_217	6
mol_218	0
mol_219	1
mol_220	6
mol_221	4
mol_222	3
mol_223	4
mol_224	6
mol_225	8
mol_226	9
mol_227	8
mol_228	1
mol_229	6
mol_230	9
mol_231	9
mol_232	0
mol_233	1
