ID	Split
mol_0	val
mol_1	train
mol_2	train
mol_3	train
mol_4	train
mol_5	train
mol_6	train
mol_7	train
mol_8	test
mol_9	train
mol_10	train
mol_11	val
mol_12	train
mol_13	train
mol_14	train
mol_15	train
mol_16	train
mol_17	train
mol_18	train
mol_19	val
mol_20	train
mol_21	val
mol_22	train
mol_23	train
mol_24	train
mol_25	val
mol_26	train
mol_27	test
mol_28	train
mol_29	train
mol_30	test
mol_31	train
mol_32	test
mol_33	val
mol_34	train
mol_35	train
mol_36	train
mol_37	train
mol_38	train
mol_39	test
mol_40	train
mol_41	train
mol_134	train
mol_42	train
mol_43	train
mol_44	val
mol_45	train
mol_46	train
mol_47	val
mol_48	train
mol_49	train
mol_379	train
mol_50	val
mol_51	train
mol_52	train
mol_53	train
mol_54	train
mol_55	test
mol_56	train
mol_57	train
mol_58	test
mol_59	train
mol_60	test
mol_61	val
mol_62	train
mol_63	train
mol_64	train
mol_65	val
mol_337	val
mol_66	val
mol_67	train
mol_68	train
mol_69	train
mol_70	train
mol_71	test
mol_72	train
mol_73	train
mol_74	train
mol_75	train
mol_76	val
mol_77	val
mol_78	val
mol_79	train
mol_80	train
mol_81	train
mol_82	train
mol_83	train
mol_84	val
mol_85	train
mol_86	train
mol_87	val
mol_187	val
mol_88	val
mol_89	train
mol_94	train
mol_90	train
mol_91	train
mol_92	val
mol_93	train
mol_95	train
mol_96	train
mol_97	train
mol_98	val
mol_99	train
mol_100	test
mol_101	test
mol_102	train
mol_103	train
mol_104	train
mol_105	train
mol_106	train
mol_107	val
mol_108	train
mol_109	val
mol_110	train
mol_111	val
mol_112	test
mol_113	val
mol_114	val
mol_115	train
mol_116	train
mol_190	train
mol_117	val
mol_118	train
mol_119	train
mol_120	train
mol_121	train
mol_122	train
mol_123	train
mol_124	train
mol_125	train
mol_126	train
mol_127	train
mol_128	train
mol_129	test
mol_130	train
mol_131	val
mol_132	val
mol_133	train
mol_135	train
mol_136	val
mol_137	test
mol_138	train
mol_139	val
mol_140	train
mol_141	train
mol_142	val
mol_143	val
mol_144	train
mol_145	train
mol_146	val
mol_147	train
mol_148	train
mol_149	val
mol_150	train
mol_151	train
mol_152	val
mol_153	val
mol_154	train
mol_155	train
mol_156	train
mol_157	train
mol_158	val
mol_159	test
mol_160	val
mol_161	train
mol_162	val
mol_163	train
mol_164	train
mol_165	train
mol_166	train
mol_167	train
mol_168	train
mol_169	train
mol_170	train
mol_171	train
mol_172	train
mol_173	test
mol_174	train
mol_175	train
mol_176	train
mol_177	train
mol_178	train
mol_179	train
mol_180	val
mol_181	train
mol_182	val
mol_183	train
mol_184	val
mol_185	train
mol_186	train
mol_188	train
mol_189	test
mol_191	train
mol_192	test
mol_193	val
mol_194	train
mol_195	train
mol_196	train
mol_197	train
mol_198	train
mol_199	train
mol_200	train
mol_201	train
mol_202	train
mol_203	train
mol_204	train
mol_205	train
mol_206	train
mol_207	val
mol_208	train
mol_209	train
mol_210	train
mol_211	val
mol_212	train
mol_213	train
mol_214	val
mol_215	val
mol_216	train
mol_217	test
mol_218	val
mol_219	train
mol_220	val
mol_221	train
mol_222	val
mol_223	train
mol_224	train
mol_225	val
mol_226	train
mol_227	train
mol_228	val
mol_229	train
mol_230	val
mol_231	test
mol_232	val
mol_233	train
mol_234	train
mol_235	train
mol_236	val
mol_237	test
mol_238	val
mol_239	train
mol_240	train
mol_241	train
mol_242	val
mol_243	train
mol_244	train
mol_245	val
mol_246	train
mol_247	train
mol_248	train
mol_249	val
mol_250	train
mol_251	train
mol_252	train
mol_253	train
mol_254	val
mol_255	train
mol_256	train
mol_257	test
mol_258	val
mol_259	val
mol_260	val
mol_261	test
mol_262	train
mol_263	train
mol_264	train
mol_265	train
mol_266	train
mol_267	test
mol_268	train
mol_269	train
mol_270	train
mol_271	test
mol_272	train
mol_273	test
mol_274	train
mol_275	val
mol_276	train
mol_277	val
mol_278	train
mol_279	train
mol_280	train
mol_281	test
mol_282	val
mol_283	val
mol_284	val
mol_285	val
mol_286	train
mol_287	train
mol_288	val
mol_289	train
mol_290	train
mol_291	train
mol_292	train
mol_293	train
mol_294	train
mol_295	train
mol_296	val
mol_297	train
mol_298	train
mol_299	test
mol_300	train
mol_301	train
mol_302	train
mol_303	test
mol_304	train
mol_305	train
mol_306	train
mol_307	train
mol_308	train
mol_309	train
mol_310	test
mol_311	train
mol_312	train
mol_313	train
mol_314	train
mol_315	val
mol_316	train
mol_317	val
mol_318	val
mol_319	train
mol_320	train
mol_321	train
mol_322	val
mol_323	val
mol_324	train
mol_325	train
mol_326	train
mol_327	test
mol_328	val
mol_329	train
mol_330	train
mol_331	val
mol_332	train
mol_333	train
mol_334	train
mol_335	train
mol_336	train
mol_338	val
mol_339	train
mol_340	train
mol_341	test
mol_342	test
mol_343	train
mol_344	val
mol_345	val
mol_346	train
mol_347	test
mol_348	train
mol_349	test
mol_350	test
mol_351	train
mol_352	train
mol_353	train
mol_354	train
mol_355	train
mol_356	train
mol_357	train
mol_358	train
mol_359	train
mol_360	train
mol_361	train
mol_362	test
mol_363	train
mol_364	train
mol_365	val
mol_366	train
mol_367	train
mol_368	test
mol_369	train
mol_370	train
mol_371	train
mol_372	train
mol_373	train
mol_374	train
mol_375	train
mol_376	val
mol_377	val
mol_378	val
mol_380	val
mol_381	train
mol_382	train
mol_383	train
mol_384	train
mol_385	train
mol_386	train
mol_387	train
mol_388	train
mol_389	train
mol_390	train
mol_391	train
mol_392	train
mol_393	val
mol_394	train
mol_395	train
mol_396	train
mol_397	train
mol_398	val
mol_399	train
mol_400	train
mol_401	train
mol_402	val
mol_403	train
mol_404	val
mol_405	val
mol_406	train
mol_407	test
mol_408	train
mol_409	train
mol_410	train
mol_411	train
mol_412	train
mol_413	train
mol_414	train
mol_415	train
mol_416	train
mol_417	train
mol_418	train
mol_419	train
mol_420	val
mol_421	train
mol_422	val
mol_423	train
mol_424	train
