ID	Cluster_ID
mol_0	5
mol_1	0
mol_2	0
mol_3	9
mol_4	9
mol_5	9
mol_6	0
mol_7	9
mol_8	4
mol_9	9
mol_10	0
mol_11	2
mol_12	0
mol_13	8
mol_14	9
mol_15	8
mol_16	9
mol_17	9
mol_18	0
mol_19	2
mol_20	0
mol_21	2
mol_22	0
mol_23	0
mol_24	0
mol_25	2
mol_26	9
mol_27	3
mol_28	0
mol_29	9
mol_30	3
mol_31	9
mol_32	6
mol_33	2
mol_34	9
mol_35	0
mol_36	0
mol_37	8
mol_38	9
mol_39	3
mol_40	0
mol_41	9
mol_134	9
mol_42	0
mol_43	0
mol_44	2
mol_45	8
mol_46	9
mol_47	5
mol_48	0
mol_49	0
mol_379	0
mol_50	2
mol_51	0
mol_52	0
mol_53	0
mol_54	9
mol_55	3
mol_56	8
mol_57	0
mol_58	3
mol_59	0
mol_60	3
mol_61	2
mol_62	0
mol_63	9
mol_64	9
mol_65	2
mol_337	2
mol_66	2
mol_67	8
mol_68	0
mol_69	0
mol_70	0
mol_71	3
mol_72	0
mol_73	9
mol_74	9
mol_75	8
mol_76	2
mol_77	5
mol_78	5
mol_79	0
mol_80	0
mol_81	8
mol_82	0
mol_83	0
mol_84	2
mol_85	9
mol_86	0
mol_87	2
mol_187	2
mol_88	5
mol_89	0
mol_94	0
mol_90	9
mol_91	9
mol_92	2
mol_93	9
mol_95	0
mol_96	9
mol_97	9
mol_98	5
mol_99	9
mol_100	3
mol_101	3
mol_102	8
mol_103	9
mol_104	0
mol_105	9
mol_106	9
mol_107	2
mol_108	9
mol_109	2
mol_110	9
mol_111	2
mol_112	3
mol_113	2
mol_114	5
mol_115	0
mol_116	0
mol_190	0
mol_117	5
mol_118	8
mol_119	8
mol_120	9
mol_121	8
mol_122	0
mol_123	8
mol_124	8
mol_125	0
mol_126	0
mol_127	8
mol_128	9
mol_129	3
mol_130	0
mol_131	2
mol_132	2
mol_133	8
mol_135	8
mol_136	5
mol_137	3
mol_138	8
mol_139	2
mol_140	0
mol_141	0
mol_142	5
mol_143	5
mol_144	0
mol_145	0
mol_146	5
mol_147	0
mol_148	8
mol_149	2
mol_150	8
mol_151	8
mol_152	2
mol_153	2
mol_154	8
mol_155	8
mol_156	8
mol_157	0
mol_158	5
mol_159	3
mol_160	2
mol_161	0
mol_162	2
mol_163	8
mol_164	0
mol_165	0
mol_166	0
mol_167	0
mol_168	9
mol_169	0
mol_170	0
mol_171	0
mol_172	9
mol_173	3
mol_174	9
mol_175	8
mol_176	0
mol_177	9
mol_178	8
mol_179	0
mol_180	2
mol_181	9
mol_182	5
mol_183	9
mol_184	5
mol_185	0
mol_186	0
mol_188	0
mol_189	3
mol_191	8
mol_192	3
mol_193	2
mol_194	0
mol_195	0
mol_196	8
mol_197	9
mol_198	0
mol_199	8
mol_200	9
mol_201	0
mol_202	8
mol_203	0
mol_204	0
mol_205	0
mol_206	0
mol_207	5
mol_208	0
mol_209	9
mol_210	0
mol_211	2
mol_212	9
mol_213	0
mol_214	2
mol_215	2
mol_216	0
mol_217	3
mol_218	5
mol_219	9
mol_220	5
mol_221	9
mol_222	5
mol_223	9
mol_224	0
mol_225	5
mol_226	9
mol_227	0
mol_228	2
mol_229	0
mol_230	2
mol_231	6
mol_232	2
mol_233	8
mol_234	9
mol_235	8
mol_236	2
mol_237	3
mol_238	2
mol_239	9
mol_240	0
mol_241	8
mol_242	2
mol_243	8
mol_244	0
mol_245	2
mol_246	9
mol_247	0
mol_248	8
mol_249	2
mol_250	8
mol_251	9
mol_252	0
mol_253	9
mol_254	5
mol_255	0
mol_256	0
mol_257	3
mol_258	2
mol_259	2
mol_260	2
mol_261	3
mol_262	9
mol_263	0
mol_264	0
mol_265	0
mol_266	8
mol_267	6
mol_268	0
mol_269	9
mol_270	0
mol_271	3
mol_272	9
mol_273	6
mol_274	0
mol_275	2
mol_276	8
mol_277	5
mol_278	0
mol_279	0
mol_280	9
mol_281	3
mol_282	2
mol_283	5
mol_284	2
mol_285	5
mol_286	8
mol_287	0
mol_288	2
mol_289	0
mol_290	0
mol_291	0
mol_292	0
mol_293	8
mol_294	9
mol_295	9
mol_296	2
mol_297	9
mol_298	9
mol_299	6
mol_300	8
mol_301	9
mol_302	0
mol_303	3
mol_304	9
mol_305	8
mol_306	0
mol_307	9
mol_308	9
mol_309	0
mol_310	3
mol_311	9
mol_312	0
mol_313	9
mol_314	0
mol_315	2
mol_316	9
mol_317	2
mol_318	2
mol_319	8
mol_320	8
mol_321	8
mol_322	5
mol_323	5
mol_324	9
mol_325	9
mol_326	7
mol_327	3
mol_328	5
mol_329	0
mol_330	0
mol_331	5
mol_332	8
mol_333	9
mol_334	9
mol_335	0
mol_336	0
mol_338	2
mol_339	0
mol_340	0
mol_341	3
mol_342	1
mol_343	0
mol_344	5
mol_345	5
mol_346	0
mol_347	3
mol_348	8
mol_349	3
mol_350	3
mol_351	0
mol_352	0
mol_353	8
mol_354	0
mol_355	0
mol_356	9
mol_357	9
mol_358	9
mol_359	0
mol_360	0
mol_361	0
mol_362	6
mol_363	9
mol_364	0
mol_365	2
mol_366	0
mol_367	0
mol_368	3
mol_369	0
mol_370	9
mol_371	8
mol_372	0
mol_373	0
mol_374	0
mol_375	8
mol_376	2
mol_377	2
mol_378	2
mol_380	2
mol_381	9
mol_382	9
mol_383	9
mol_384	0
mol_385	8
mol_386	0
mol_387	8
mol_388	8
mol_389	9
mol_390	9
mol_391	7
mol_392	7
mol_393	2
mol_394	7
mol_395	0
mol_396	7
mol_397	9
mol_398	2
mol_399	7
mol_400	9
mol_401	9
mol_402	2
mol_403	9
mol_404	2
mol_405	2
mol_406	9
mol_407	3
mol_408	7
mol_409	9
mol_410	0
mol_411	9
mol_412	8
mol_413	0
mol_414	9
mol_415	9
mol_416	9
mol_417	7
mol_418	9
mol_419	9
mol_420	2
mol_421	9
mol_422	2
mol_423	7
mol_424	7
mol_425	0
mol_426	7
mol_427	3
mol_428	2
mol_429	9
mol_430	9
mol_431	7
mol_432	7
mol_433	7
mol_434	9
mol_435	0
mol_436	2
mol_437	7
mol_438	9
mol_439	7
mol_440	7
mol_441	7
mol_442	0
mol_443	2
mol_444	7
mol_445	9
mol_446	9
mol_447	7
mol_448	7
mol_449	2
mol_450	7
mol_451	0
mol_452	9
mol_453	2
mol_454	3
mol_455	8
mol_456	9
mol_457	5
mol_458	9
mol_459	0
mol_460	9
mol_461	7
mol_462	2
mol_463	9
mol_464	9
mol_465	7
mol_466	3
mol_467	0
mol_468	9
mol_469	2
mol_470	7
mol_471	3
mol_472	9
mol_473	7
mol_474	9
mol_475	0
mol_476	2
mol_477	9
mol_478	9
mol_479	7
mol_480	9
mol_481	9
mol_482	7
mol_483	7
mol_484	9
mol_485	7
mol_486	7
mol_487	2
mol_488	7
mol_489	0
mol_490	9
mol_491	8
mol_492	9
mol_493	7
mol_494	7
mol_495	0
mol_496	9
mol_497	7
mol_498	3
mol_499	2
mol_500	2
mol_501	0
mol_502	0
mol_503	6
mol_504	2
mol_505	9
mol_506	9
mol_507	7
mol_508	8
