ID	Split	Source
mol_0	train	assigned
mol_1	train	assigned
mol_2	test	sampled
mol_3	val	assigned
mol_4	val	assigned
mol_5	val	assigned
mol_6	val	assigned
mol_7	test	assigned
mol_8	train	assigned
mol_9	train	assigned
mol_10	train	assigned
mol_11	val	assigned
mol_12	val	assigned
mol_13	val	assigned
mol_14	val	assigned
mol_15	train	assigned
mol_16	train	assigned
mol_17	train	assigned
mol_18	test	assigned
mol_19	test	assigned
mol_20	val	assigned
mol_21	train	assigned
mol_22	train	assigned
mol_23	val	sampled
mol_24	train	assigned
mol_25	train	sampled
mol_26	val	assigned
mol_27	train	assigned
mol_28	val	assigned
mol_29	train	sampled
mol_30	train	sampled
mol_31	test	assigned
mol_32	train	sampled
mol_33	train	assigned
mol_34	train	assigned
mol_35	train	assigned
mol_36	train	assigned
mol_37	train	assigned
mol_38	train	assigned
mol_39	train	sampled
mol_40	val	assigned
mol_41	train	assigned
mol_42	train	assigned
mol_43	train	assigned
mol_44	test	sampled
mol_45	val	sampled
mol_46	train	assigned
mol_47	val	assigned
mol_48	train	assigned
mol_49	test	sampled
mol_50	train	assigned
mol_51	train	sampled
mol_52	train	assigned
mol_53	train	assigned
mol_54	train	assigned
mol_55	val	assigned
mol_56	train	sampled
mol_57	train	assigned
mol_58	val	assigned
mol_59	train	sampled
mol_60	train	assigned
mol_61	val	assigned
mol_62	test	assigned
mol_63	train	sampled
mol_64	train	assigned
mol_65	train	sampled
mol_66	train	assigned
mol_67	train	sampled
mol_68	train	assigned
mol_69	train	sampled
mol_70	train	sampled
mol_71	train	sampled
mol_72	val	assigned
mol_73	train	sampled
mol_74	val	assigned
mol_75	val	assigned
mol_76	train	sampled
mol_77	train	assigned
mol_78	train	sampled
mol_79	train	assigned
mol_80	train	assigned
mol_81	train	assigned
mol_82	train	assigned
mol_83	train	assigned
mol_84	train	assigned
mol_85	val	assigned
mol_86	train	assigned
mol_87	train	assigned
mol_88	test	assigned
mol_89	val	assigned
mol_90	val	assigned
mol_91	val	assigned
mol_92	train	assigned
mol_93	train	assigned
mol_94	train	assigned
mol_95	train	assigned
mol_96	val	assigned
mol_97	test	assigned
mol_98	test	assigned
mol_99	val	sampled
mol_100	train	sampled
mol_101	test	assigned
mol_102	val	assigned
mol_103	train	assigned
mol_104	train	assigned
mol_105	train	assigned
mol_106	train	assigned
mol_107	train	assigned
mol_108	test	assigned
mol_109	train	sampled
mol_110	train	assigned
mol_111	train	sampled
mol_112	test	assigned
mol_113	train	assigned
mol_114	val	assigned
mol_115	train	sampled
mol_116	train	assigned
mol_117	train	assigned
mol_118	train	assigned
mol_119	train	assigned
mol_120	train	sampled
mol_121	train	assigned
mol_122	val	assigned
mol_123	val	sampled
mol_124	train	sampled
mol_125	val	assigned
mol_126	train	assigned
mol_127	val	assigned
mol_128	train	sampled
mol_129	val	assigned
mol_130	train	assigned
mol_131	train	assigned
mol_132	train	assigned
mol_133	train	assigned
mol_134	train	assigned
mol_135	train	sampled
mol_136	train	assigned
mol_137	test	assigned
mol_138	train	assigned
mol_139	test	assigned
mol_140	test	assigned
mol_141	train	sampled
mol_142	val	assigned
mol_143	train	assigned
mol_144	val	assigned
mol_145	val	assigned
mol_146	val	assigned
mol_147	train	assigned
mol_148	test	assigned
mol_149	test	assigned
mol_150	val	assigned
mol_151	test	assigned
mol_152	train	assigned
mol_153	train	assigned
mol_154	train	assigned
mol_155	train	assigned
mol_156	train	assigned
mol_157	train	assigned
mol_158	test	assigned
mol_159	train	assigned
mol_160	train	assigned
mol_161	train	assigned
mol_162	val	sampled
mol_163	test	sampled
mol_164	val	assigned
mol_165	train	assigned
mol_166	val	assigned
mol_167	train	assigned
mol_168	train	sampled
mol_169	val	assigned
mol_170	train	assigned
mol_171	train	assigned
mol_172	train	assigned
mol_173	test	sampled
mol_174	train	assigned
mol_175	train	sampled
mol_176	train	assigned
mol_177	val	assigned
mol_178	train	assigned
mol_179	train	assigned
mol_180	val	assigned
mol_181	train	assigned
mol_182	train	assigned
mol_183	train	assigned
mol_184	test	sampled
mol_185	test	sampled
mol_186	test	assigned
mol_187	val	assigned
mol_188	train	sampled
mol_189	train	assigned
mol_190	test	assigned
mol_191	train	assigned
mol_192	train	sampled
mol_193	train	assigned
mol_194	train	sampled
mol_195	train	assigned
mol_196	val	sampled
mol_197	train	assigned
mol_198	train	sampled
mol_199	train	assigned
mol_200	test	assigned
mol_201	train	assigned
mol_202	val	assigned
mol_203	train	sampled
mol_204	val	assigned
mol_205	val	assigned
mol_206	train	assigned
mol_207	test	assigned
mol_208	train	assigned
mol_209	train	assigned
mol_210	val	sampled
mol_211	train	sampled
mol_212	train	sampled
mol_213	train	assigned
mol_214	train	assigned
mol_215	train	assigned
mol_216	train	assigned
mol_217	train	assigned
mol_218	train	sampled
mol_219	test	assigned
mol_220	val	sampled
mol_221	train	assigned
mol_222	val	assigned
mol_223	train	assigned
mol_224	train	assigned
mol_225	train	assigned
mol_226	train	assigned
mol_227	val	assigned
mol_228	train	assigned
mol_229	train	assigned
mol_230	train	assigned
mol_231	train	sampled
mol_232	train	assigned
mol_233	val	sampled
mol_234	train	assigned
mol_235	val	assigned
mol_236	train	assigned
mol_237	train	sampled
mol_238	train	assigned
mol_239	train	sampled
mol_240	val	sampled
mol_241	train	assigned
mol_242	train	assigned
mol_243	train	assigned
mol_244	train	sampled
mol_245	test	assigned
mol_246	val	assigned
mol_247	train	sampled
mol_248	val	assigned
mol_249	train	assigned
mol_250	test	assigned
mol_251	train	sampled
mol_252	train	assigned
mol_253	train	assigned
mol_254	train	sampled
mol_255	train	assigned
mol_256	val	sampled
mol_257	train	assigned
mol_258	train	assigned
mol_259	test	sampled
mol_260	train	assigned
mol_261	train	sampled
mol_262	train	assigned
mol_263	train	assigned
mol_264	train	assigned
mol_265	train	sampled
mol_266	train	sampled
mol_267	train	assigned
mol_268	train	assigned
mol_269	train	assigned
mol_270	train	sampled
mol_271	train	sampled
mol_272	train	assigned
mol_273	train	sampled
mol_274	train	assigned
mol_275	train	sampled
mol_276	val	assigned
mol_277	train	assigned
mol_278	train	assigned
mol_279	val	assigned
mol_280	train	assigned
mol_281	train	sampled
mol_282	val	assigned
mol_283	train	assigned
mol_284	train	assigned
mol_285	train	assigned
mol_286	val	assigned
mol_287	train	assigned
mol_288	train	assigned
mol_289	train	sampled
mol_290	train	assigned
mol_291	val	assigned
mol_292	train	sampled
mol_293	train	assigned
mol_294	train	assigned
mol_295	train	assigned
mol_296	test	assigned
mol_297	train	sampled
mol_298	train	sampled
mol_299	train	sampled
mol_300	train	sampled
mol_301	train	assigned
mol_302	train	assigned
mol_303	train	sampled
mol_304	test	assigned
mol_305	train	sampled
mol_306	train	sampled
mol_307	train	sampled
mol_308	train	assigned
mol_309	train	assigned
mol_310	val	assigned
mol_311	train	assigned
mol_312	train	assigned
mol_313	val	assigned
mol_314	train	assigned
mol_315	train	assigned
mol_316	train	sampled
mol_317	val	assigned
mol_318	test	assigned
mol_319	val	assigned
mol_320	val	assigned
mol_321	train	sampled
mol_322	test	sampled
mol_323	train	assigned
mol_324	train	sampled
mol_325	train	assigned
mol_326	train	assigned
mol_327	train	assigned
mol_328	train	assigned
mol_329	val	assigned
mol_330	train	assigned
mol_331	val	sampled
mol_332	test	sampled
mol_333	train	assigned
mol_334	train	assigned
mol_335	train	assigned
mol_336	train	assigned
mol_337	train	assigned
mol_338	val	assigned
mol_339	train	sampled
mol_340	val	assigned
mol_341	train	assigned
mol_342	train	sampled
mol_343	train	assigned
mol_344	train	sampled
mol_345	train	assigned
mol_346	train	assigned
mol_347	train	assigned
mol_348	val	assigned
mol_349	test	assigned
mol_350	val	sampled
mol_351	val	sampled
mol_352	val	sampled
mol_353	train	sampled
mol_354	val	sampled
mol_355	train	assigned
mol_356	train	assigned
mol_357	val	assigned
mol_358	val	assigned
mol_359	train	assigned
mol_360	train	assigned
mol_361	train	sampled
mol_362	train	assigned
mol_363	test	assigned
mol_364	val	assigned
mol_365	train	sampled
mol_366	test	sampled
mol_367	test	sampled
mol_368	train	sampled
mol_369	train	assigned
mol_370	train	assigned
mol_371	train	assigned
mol_372	train	assigned
mol_373	train	assigned
mol_374	train	sampled
mol_375	val	assigned
mol_376	train	sampled
mol_377	train	assigned
mol_378	val	assigned
mol_379	val	assigned
mol_380	train	assigned
mol_381	val	sampled
mol_382	val	sampled
mol_383	train	sampled
mol_384	train	assigned
mol_385	test	assigned
mol_386	train	assigned
mol_387	val	assigned
mol_388	train	assigned
mol_389	train	assigned
mol_390	train	assigned
mol_391	train	assigned
mol_392	train	assigned
mol_393	train	sampled
mol_394	train	sampled
mol_395	val	assigned
mol_396	train	assigned
mol_397	train	assigned
mol_398	val	sampled
mol_399	train	assigned
mol_400	val	assigned
mol_401	train	assigned
mol_402	test	assigned
mol_403	train	assigned
mol_404	train	assigned
mol_405	train	assigned
mol_406	train	assigned
mol_407	train	assigned
mol_408	train	sampled
mol_409	train	assigned
mol_410	test	assigned
mol_411	test	sampled
mol_412	train	assigned
mol_413	train	assigned
mol_414	train	sampled
mol_415	train	sampled
mol_416	train	sampled
mol_417	test	assigned
mol_418	train	assigned
mol_419	test	assigned
mol_420	test	sampled
mol_421	train	assigned
mol_422	test	sampled
mol_423	test	assigned
mol_424	val	assigned
mol_425	val	assigned
mol_426	train	sampled
mol_427	train	sampled
mol_428	train	assigned
mol_429	train	sampled
mol_430	val	assigned
mol_431	train	assigned
mol_432	train	sampled
mol_433	train	sampled
mol_434	val	assigned
mol_435	train	assigned
mol_436	train	sampled
mol_437	train	assigned
mol_438	train	sampled
mol_439	train	sampled
mol_440	train	assigned
mol_441	train	assigned
mol_442	val	assigned
mol_443	val	assigned
mol_444	train	assigned
mol_445	train	sampled
mol_446	train	assigned
mol_447	train	assigned
mol_448	train	assigned
mol_449	train	assigned
mol_450	train	sampled
mol_451	train	assigned
mol_452	train	assigned
mol_453	train	sampled
mol_454	test	assigned
mol_455	train	assigned
mol_456	train	assigned
mol_457	val	assigned
mol_458	val	assigned
mol_459	train	assigned
mol_460	train	assigned
mol_461	train	assigned
mol_462	train	sampled
mol_463	train	assigned
mol_464	train	sampled
mol_465	train	assigned
mol_466	train	assigned
mol_467	test	assigned
mol_468	train	assigned
mol_469	train	assigned
mol_470	train	assigned
mol_471	val	sampled
mol_472	test	assigned
mol_473	train	assigned
mol_474	train	assigned
mol_475	val	assigned
mol_476	train	assigned
mol_477	val	assigned
mol_478	val	sampled
mol_479	train	sampled
mol_480	train	sampled
mol_481	train	assigned
mol_482	test	sampled
mol_483	train	sampled
mol_484	val	assigned
mol_485	train	sampled
mol_486	train	sampled
mol_487	train	assigned
mol_488	test	assigned
mol_489	train	assigned
mol_490	train	assigned
mol_491	train	assigned
mol_492	test	assigned
mol_493	train	assigned
mol_494	train	sampled
mol_495	train	sampled
mol_496	val	assigned
mol_497	train	assigned
mol_498	test	assigned
mol_499	train	assigned
mol_500	train	assigned
mol_501	train	assigned
mol_502	train	assigned
mol_503	test	assigned
mol_504	test	assigned
mol_505	val	assigned
mol_506	train	assigned
mol_507	val	sampled
mol_508	train	assigned
mol_509	train	assigned
mol_510	train	assigned
mol_511	train	assigned
mol_512	train	assigned
mol_513	val	assigned
mol_514	train	sampled
mol_515	val	assigned
mol_516	val	assigned
mol_517	val	assigned
mol_518	train	assigned
mol_519	train	sampled
mol_520	train	assigned
mol_521	train	assigned
mol_522	train	assigned
mol_523	train	assigned
mol_524	train	assigned
mol_525	train	assigned
mol_526	train	sampled
mol_527	train	sampled
mol_528	train	assigned
mol_529	train	sampled
mol_530	train	sampled
mol_531	train	assigned
mol_532	test	sampled
mol_533	train	assigned
mol_534	test	sampled
mol_535	train	sampled
mol_536	train	assigned
mol_537	train	assigned
mol_538	val	sampled
mol_539	val	assigned
mol_540	val	assigned
mol_541	val	assigned
mol_542	train	assigned
mol_543	train	sampled
mol_544	train	sampled
mol_545	train	assigned
mol_546	train	assigned
mol_547	train	assigned
mol_548	train	sampled
mol_549	test	assigned
mol_550	train	assigned
mol_551	test	assigned
mol_552	train	sampled
mol_553	train	assigned
mol_554	train	sampled
mol_555	val	sampled
mol_556	train	assigned
mol_557	train	assigned
mol_558	train	assigned
mol_559	train	assigned
mol_560	val	assigned
mol_561	train	sampled
mol_562	train	assigned
mol_563	train	assigned
mol_564	train	assigned
mol_565	train	assigned
mol_566	train	assigned
mol_567	train	assigned
mol_568	train	assigned
mol_569	train	assigned
mol_570	train	sampled
mol_571	train	assigned
mol_572	train	sampled
mol_573	train	assigned
mol_574	train	assigned
mol_575	train	assigned
mol_576	train	sampled
mol_577	train	assigned
mol_578	train	assigned
mol_579	train	assigned
mol_580	test	assigned
mol_581	test	assigned
mol_582	train	sampled
mol_583	train	sampled
mol_584	train	sampled
mol_585	train	sampled
mol_586	train	assigned
mol_587	train	assigned
mol_588	train	sampled
mol_589	train	assigned
mol_590	train	assigned
mol_591	train	sampled
mol_592	train	assigned
mol_593	train	sampled
mol_594	val	assigned
mol_595	val	assigned
mol_596	train	sampled
mol_597	train	assigned
mol_598	train	assigned
mol_599	val	sampled
mol_600	val	assigned
mol_601	train	assigned
mol_602	train	sampled
mol_603	train	assigned
mol_604	train	assigned
mol_605	test	assigned
mol_606	train	assigned
mol_607	train	sampled
mol_608	train	assigned
mol_609	train	assigned
mol_610	train	sampled
mol_611	val	sampled
mol_612	train	assigned
mol_613	train	assigned
mol_614	train	sampled
mol_615	val	assigned
mol_616	test	assigned
mol_617	train	sampled
mol_618	val	sampled
mol_619	train	sampled
mol_620	val	sampled
mol_621	val	assigned
mol_622	val	assigned
mol_623	val	assigned
mol_624	val	assigned
mol_625	val	assigned
mol_626	val	assigned
mol_627	test	assigned
mol_628	train	assigned
mol_629	train	assigned
mol_630	train	sampled
mol_631	train	assigned
mol_632	test	assigned
mol_633	train	assigned
mol_634	test	assigned
mol_635	train	assigned
mol_636	val	assigned
mol_637	val	sampled
mol_638	val	assigned
mol_639	train	assigned
mol_640	train	assigned
mol_641	train	assigned
mol_642	train	assigned
mol_643	train	assigned
mol_644	train	assigned
mol_645	train	assigned
mol_646	train	assigned
mol_647	train	assigned
mol_648	train	assigned
mol_649	train	assigned
mol_650	test	sampled
mol_651	train	sampled
mol_652	train	assigned
mol_653	train	assigned
mol_654	train	sampled
mol_655	val	assigned
mol_656	train	assigned
mol_657	val	assigned
mol_658	val	assigned
mol_659	val	assigned
mol_660	val	assigned
mol_661	train	assigned
mol_662	train	assigned
mol_663	train	assigned
mol_664	test	assigned
mol_665	train	assigned
mol_666	train	assigned
mol_667	train	assigned
mol_668	train	assigned
mol_669	train	assigned
mol_670	train	sampled
mol_671	test	assigned
mol_672	train	assigned
mol_673	test	assigned
mol_674	test	sampled
mol_675	train	assigned
mol_676	train	assigned
mol_677	train	assigned
mol_678	train	sampled
