ID	Split
mol_0	train
mol_1	train
mol_2	train
mol_3	val
mol_4	val
mol_5	train
mol_6	val
mol_7	test
mol_8	train
mol_9	train
mol_10	test
mol_11	train
mol_12	train
mol_13	train
mol_14	train
mol_15	train
mol_16	train
mol_17	train
mol_18	val
mol_19	train
mol_20	train
mol_21	val
mol_22	train
mol_23	train
mol_24	train
mol_25	val
mol_26	val
mol_27	train
mol_28	train
mol_29	train
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	train
mol_35	test
mol_36	train
mol_37	train
mol_38	train
mol_39	train
mol_40	val
mol_41	train
mol_42	train
mol_43	train
mol_44	test
mol_45	train
mol_46	train
mol_47	train
mol_48	train
mol_49	train
mol_50	train
mol_51	train
mol_52	train
mol_53	val
mol_54	train
mol_55	val
mol_56	val
mol_57	test
mol_58	train
mol_59	val
mol_60	train
mol_61	train
mol_62	train
mol_63	train
mol_64	train
mol_65	train
mol_66	train
mol_67	test
mol_68	train
mol_69	val
mol_70	train
mol_71	train
mol_72	train
mol_73	val
mol_74	train
mol_75	train
mol_76	train
mol_77	train
mol_78	train
mol_79	train
mol_80	train
mol_81	test
mol_82	train
mol_83	val
mol_84	train
mol_85	train
mol_86	train
mol_87	val
mol_88	train
mol_89	train
mol_90	train
mol_91	train
mol_92	train
mol_93	test
mol_94	train
mol_95	train
mol_96	train
mol_97	train
mol_98	train
mol_99	train
mol_100	val
mol_101	train
mol_102	test
mol_103	train
mol_104	test
mol_105	val
mol_106	train
mol_107	train
mol_108	val
mol_109	train
mol_110	val
mol_111	val
mol_112	train
mol_113	train
mol_114	val
mol_115	val
mol_116	val
mol_117	val
mol_118	train
mol_119	train
mol_120	train
mol_121	train
mol_122	train
mol_123	val
mol_124	val
mol_125	train
mol_126	test
mol_127	train
mol_128	val
mol_129	train
mol_130	val
mol_131	test
mol_132	train
mol_133	train
mol_134	test
mol_135	val
mol_136	train
mol_137	train
mol_138	train
mol_139	train
mol_140	val
mol_141	train
mol_142	train
mol_143	train
mol_144	val
mol_145	train
mol_146	train
mol_147	train
mol_148	val
mol_149	train
mol_150	val
mol_151	train
mol_152	test
mol_153	test
mol_154	test
mol_155	val
mol_156	train
mol_157	train
mol_158	train
mol_159	test
mol_160	train
mol_161	train
mol_162	train
mol_163	val
mol_164	train
mol_165	train
mol_166	val
mol_167	train
mol_168	test
mol_169	train
mol_170	train
mol_171	train
mol_172	train
mol_173	train
mol_174	train
mol_175	val
mol_176	train
mol_177	train
mol_178	train
mol_179	train
mol_180	val
mol_181	val
mol_182	test
mol_183	train
mol_184	test
mol_185	train
mol_186	train
mol_187	val
mol_188	val
mol_189	train
mol_190	test
mol_191	train
mol_192	train
mol_193	train
mol_194	val
mol_195	train
mol_196	val
mol_197	val
mol_198	train
mol_199	val
mol_200	train
mol_201	train
mol_202	train
mol_203	train
mol_204	train
mol_205	train
mol_206	train
mol_207	train
mol_208	test
mol_209	train
mol_210	val
mol_211	train
mol_212	val
mol_213	test
mol_214	train
mol_215	train
mol_216	train
mol_217	test
mol_218	train
mol_219	test
mol_220	train
mol_221	train
mol_222	val
mol_223	train
mol_224	train
mol_225	train
mol_226	train
mol_227	train
mol_228	test
mol_229	train
mol_230	val
mol_231	train
mol_232	train
mol_233	train
mol_234	train
mol_235	val
mol_236	train
mol_237	train
