ID	Cluster_ID
mol_0	8
mol_1	0
mol_2	2
mol_3	3
mol_4	3
mol_5	8
mol_6	5
mol_7	6
mol_8	7
mol_9	8
mol_10	6
mol_11	8
mol_12	7
mol_13	2
mol_14	8
mol_15	9
mol_16	7
mol_17	8
mol_18	5
mol_19	8
mol_20	8
mol_21	3
mol_22	8
mol_23	7
mol_24	8
mol_25	3
mol_26	4
mol_27	0
mol_28	1
mol_29	7
mol_30	2
mol_31	8
mol_32	2
mol_33	8
mol_34	9
mol_35	6
mol_36	2
mol_37	0
mol_38	8
mol_39	8
mol_40	3
mol_41	0
mol_42	0
mol_43	1
mol_44	6
mol_45	8
mol_46	0
mol_47	1
mol_48	2
mol_49	0
mol_50	9
mol_51	8
mol_52	9
mol_53	4
mol_54	0
mol_55	3
mol_56	3
mol_57	6
mol_58	9
mol_59	5
mol_60	7
mol_61	8
mol_62	0
mol_63	2
mol_64	8
mol_65	1
mol_66	9
mol_67	6
mol_68	2
mol_69	5
mol_70	8
mol_71	8
mol_72	8
mol_73	5
mol_74	2
mol_75	9
mol_76	1
mol_77	8
mol_78	9
mol_79	1
mol_80	1
mol_81	6
mol_82	0
mol_83	4
mol_84	9
mol_85	2
mol_86	1
mol_87	5
mol_88	9
mol_89	1
mol_90	8
mol_91	2
mol_92	8
mol_93	6
mol_94	1
mol_95	7
mol_96	1
mol_97	9
mol_98	8
mol_99	9
mol_100	3
mol_101	8
mol_102	6
mol_103	9
mol_104	6
mol_105	3
mol_106	1
mol_107	8
mol_108	3
mol_109	9
mol_110	5
mol_111	3
mol_112	2
mol_113	8
mol_114	5
mol_115	3
mol_116	3
mol_117	5
mol_118	0
mol_119	1
mol_120	8
mol_121	7
mol_122	2
mol_123	3
mol_124	3
mol_125	2
mol_126	6
mol_127	0
mol_128	5
mol_129	2
mol_130	5
mol_131	6
mol_132	8
mol_133	9
mol_134	6
mol_135	4
mol_136	0
mol_137	0
mol_138	8
mol_139	1
mol_140	3
mol_141	0
mol_142	9
mol_143	1
mol_144	5
mol_145	8
mol_146	1
mol_147	8
mol_148	5
mol_149	7
mol_150	4
mol_151	8
mol_152	6
mol_153	6
mol_154	6
mol_155	3
mol_156	9
mol_157	7
mol_158	0
mol_159	6
mol_160	9
mol_161	2
mol_162	8
mol_163	5
mol_164	1
mol_165	8
mol_166	4
mol_167	1
mol_168	6
mol_169	0
mol_170	8
mol_171	9
mol_172	8
mol_173	0
mol_174	2
mol_175	3
mol_176	7
mol_177	0
mol_178	8
mol_179	1
mol_180	5
mol_181	5
