ID	Cluster_ID
mol_0	0
mol_1	0
mol_2	9
mol_3	7
mol_4	1
mol_5	3
mol_6	2
mol_7	2
mol_8	2
mol_9	2
mol_10	2
mol_11	8
mol_12	9
mol_13	7
mol_14	0
mol_15	5
mol_16	7
mol_17	7
mol_18	7
mol_19	1
mol_20	8
mol_21	1
mol_22	8
mol_23	9
mol_24	1
mol_25	8
mol_26	7
mol_27	9
mol_28	3
mol_29	7
mol_30	3
mol_31	4
mol_32	1
mol_33	0
mol_34	4
mol_35	2
mol_36	8
mol_37	4
mol_38	8
mol_39	3
mol_40	7
mol_41	7
mol_42	7
mol_43	0
mol_44	6
mol_45	9
mol_46	0
mol_47	1
mol_48	5
mol_49	6
mol_50	0
mol_51	2
mol_52	1
mol_53	7
mol_54	0
mol_55	7
mol_56	5
mol_57	1
mol_58	2
mol_59	0
mol_60	7
mol_61	9
mol_62	4
mol_63	5
mol_64	6
mol_65	3
mol_66	1
mol_67	0
mol_68	7
mol_69	6
mol_70	7
mol_71	5
mol_72	7
mol_73	1
mol_74	7
mol_75	8
mol_76	7
mol_77	5
mol_78	9
mol_79	5
mol_80	7
mol_81	1
mol_82	0
mol_83	9
mol_84	6
mol_85	0
mol_86	1
mol_87	5
mol_88	8
mol_89	0
mol_90	8
mol_91	6
mol_92	9
mol_93	7
mol_94	0
mol_95	7
mol_96	7
mol_97	7
mol_98	8
mol_99	3
mol_100	9
mol_101	5
mol_102	0
mol_103	5
mol_104	0
mol_105	0
mol_106	0
mol_107	9
mol_108	4
mol_109	7
mol_110	0
mol_111	0
mol_112	1
mol_113	1
mol_114	9
mol_115	5
mol_116	5
mol_117	6
mol_118	3
mol_119	1
mol_120	7
mol_121	4
mol_122	8
mol_123	4
mol_124	8
mol_125	9
mol_126	0
mol_127	6
mol_128	9
mol_129	1
mol_130	1
mol_131	5
mol_132	7
mol_133	1
mol_134	0
mol_135	7
mol_136	2
mol_137	9
mol_138	4
mol_139	2
mol_140	5
mol_141	7
mol_142	1
mol_143	5
mol_144	1
mol_145	2
mol_146	9
mol_147	8
mol_148	7
mol_149	3
mol_150	7
mol_151	6
mol_152	9
mol_153	7
mol_154	7
mol_155	7
mol_156	8
mol_157	3
mol_158	7
mol_159	4
mol_160	3
mol_161	0
mol_162	0
mol_163	8
mol_164	5
mol_165	0
mol_166	6
mol_167	2
mol_168	7
mol_169	2
mol_170	9
mol_171	2
mol_172	7
mol_173	9
mol_174	8
mol_175	7
mol_176	1
mol_177	8
mol_178	5
mol_179	0
mol_180	3
mol_181	0
mol_182	6
mol_183	0
mol_184	7
mol_185	6
mol_186	9
mol_187	8
mol_188	1
mol_189	7
mol_190	1
mol_191	4
mol_192	9
mol_193	1
mol_194	9
mol_195	1
mol_196	9
mol_197	3
mol_198	2
mol_199	2
mol_200	0
mol_201	7
mol_202	0
mol_203	0
mol_204	0
mol_205	7
mol_206	0
mol_207	6
mol_208	7
mol_209	8
mol_210	1
mol_211	7
mol_212	0
mol_213	7
mol_214	7
mol_215	1
mol_216	5
mol_217	9
mol_218	7
mol_219	5
mol_220	7
mol_221	9
mol_222	7
mol_223	6
mol_224	6
mol_225	3
mol_226	7
mol_227	7
mol_228	7
mol_229	0
mol_230	7
mol_231	9
mol_232	5
mol_233	1
mol_234	7
mol_235	2
mol_236	3
mol_237	7
mol_238	9
mol_239	6
mol_240	0
mol_241	0
mol_242	1
mol_243	6
mol_244	0
mol_245	0
mol_246	2
mol_247	3
mol_248	2
mol_249	5
mol_250	2
mol_251	1
mol_252	2
mol_253	7
mol_254	3
mol_255	9
mol_256	4
mol_257	7
mol_258	6
mol_259	9
mol_260	0
mol_261	7
mol_262	1
mol_263	3
mol_264	5
mol_265	6
mol_266	0
mol_267	9
mol_268	5
mol_269	0
mol_270	1
mol_271	9
mol_272	3
mol_273	4
mol_274	0
mol_275	6
mol_276	9
mol_277	4
mol_278	9
mol_279	1
mol_280	7
mol_281	7
mol_282	9
mol_283	5
mol_284	4
mol_285	2
mol_286	7
mol_287	7
mol_288	4
mol_289	7
mol_290	1
mol_291	9
mol_292	7
mol_293	3
mol_294	7
mol_295	7
mol_296	5
mol_297	2
mol_298	7
mol_299	5
mol_300	1
mol_301	4
mol_302	1
mol_303	1
mol_304	7
mol_305	9
mol_306	6
mol_307	7
mol_308	6
mol_309	6
mol_310	2
mol_311	8
mol_312	9
mol_313	0
mol_314	2
mol_315	1
mol_316	8
mol_317	1
mol_318	2
mol_319	7
mol_320	5
mol_321	0
mol_322	7
mol_323	1
mol_324	0
mol_325	5
mol_326	9
mol_327	0
mol_328	9
mol_329	8
mol_330	9
mol_331	2
mol_332	2
mol_333	7
mol_334	0
mol_335	5
mol_336	3
mol_337	7
mol_338	1
mol_339	9
mol_340	0
mol_341	9
mol_342	1
mol_343	9
mol_344	2
mol_345	5
mol_346	7
mol_347	0
mol_348	6
mol_349	3
mol_350	7
mol_351	4
mol_352	1
mol_353	1
mol_354	7
mol_355	8
mol_356	0
mol_357	1
mol_358	5
mol_359	8
