ID	Split
mol_0	train
mol_1	train
mol_2	train
mol_3	train
mol_4	train
mol_5	val
mol_6	train
mol_7	train
mol_8	train
mol_9	train
mol_10	train
mol_11	test
mol_12	train
mol_13	train
mol_14	train
mol_15	train
mol_16	train
mol_17	train
mol_18	train
mol_19	train
mol_20	test
mol_21	train
mol_22	test
mol_23	train
mol_24	train
mol_25	test
mol_26	train
mol_27	train
mol_28	val
mol_29	train
mol_30	val
mol_31	val
mol_32	train
mol_33	train
mol_34	val
mol_35	train
mol_36	test
mol_37	val
mol_38	test
mol_39	val
mol_40	train
mol_41	train
mol_42	train
mol_43	train
mol_44	val
mol_45	train
mol_46	train
mol_47	train
mol_48	train
mol_49	val
mol_50	train
mol_51	train
mol_52	train
mol_53	train
mol_54	train
mol_55	train
mol_56	train
mol_57	train
mol_58	train
mol_59	train
mol_60	train
mol_61	train
mol_62	val
mol_63	train
mol_64	val
mol_65	val
mol_66	train
mol_67	train
mol_68	train
mol_69	val
mol_70	train
mol_71	train
mol_72	train
mol_73	train
mol_74	train
mol_75	test
mol_76	train
mol_77	train
mol_78	train
mol_79	train
mol_80	train
mol_81	train
mol_82	train
mol_83	train
mol_84	val
mol_85	train
mol_86	train
mol_87	train
mol_88	test
mol_89	train
mol_90	test
mol_91	val
mol_92	train
mol_93	train
mol_94	train
mol_95	train
mol_96	train
mol_97	train
mol_98	test
mol_99	val
mol_100	train
mol_101	train
mol_102	train
mol_103	train
mol_104	train
mol_105	train
mol_106	train
mol_107	train
mol_108	val
mol_109	train
mol_110	train
mol_111	train
mol_112	train
mol_113	train
mol_114	train
mol_115	train
mol_116	train
mol_117	val
mol_118	val
mol_119	train
mol_120	train
mol_121	val
mol_122	test
mol_123	val
mol_124	test
mol_125	train
mol_126	train
mol_127	val
mol_128	train
mol_129	train
mol_130	train
mol_131	train
mol_132	train
mol_133	train
mol_134	train
mol_135	train
mol_136	train
mol_137	train
mol_138	val
mol_139	train
mol_140	train
mol_141	train
mol_142	train
mol_143	train
mol_144	train
mol_145	train
mol_146	train
mol_147	test
mol_148	train
mol_149	val
mol_150	train
mol_151	val
mol_152	train
mol_153	train
mol_154	train
mol_155	train
mol_156	test
mol_157	val
mol_158	train
mol_159	val
mol_160	val
mol_161	train
mol_162	train
mol_163	test
mol_164	train
mol_165	train
mol_166	val
mol_167	train
mol_168	train
mol_169	train
mol_170	train
mol_171	train
mol_172	train
mol_173	train
mol_174	test
mol_175	train
mol_176	train
mol_177	test
mol_178	train
mol_179	train
mol_180	val
mol_181	train
mol_182	val
mol_183	train
mol_184	train
mol_185	val
mol_186	train
mol_187	test
mol_188	train
mol_189	train
mol_190	train
mol_191	val
mol_192	train
mol_193	train
mol_194	train
mol_195	train
mol_196	train
mol_197	val
mol_198	train
mol_199	train
mol_200	train
mol_201	train
mol_202	train
mol_203	train
mol_204	train
mol_205	train
mol_206	train
mol_207	val
mol_208	train
mol_209	test
mol_210	train
mol_211	train
mol_212	train
mol_213	train
mol_214	train
mol_215	train
mol_216	train
mol_217	train
mol_218	train
mol_219	train
mol_220	train
mol_221	train
mol_222	train
mol_223	val
mol_224	val
mol_225	val
mol_226	train
mol_227	train
mol_228	train
mol_229	train
mol_230	train
mol_231	train
mol_232	train
mol_233	train
mol_234	train
mol_235	train
mol_236	val
mol_237	train
