ID	Split	Source
mol_0	val	assigned
mol_1	val	sampled
mol_2	train	assigned
mol_3	train	assigned
mol_4	val	sampled
mol_5	train	assigned
mol_6	train	sampled
mol_7	train	sampled
mol_8	train	assigned
mol_9	train	assigned
mol_10	val	assigned
mol_11	train	assigned
mol_12	train	assigned
mol_13	val	sampled
mol_14	train	assigned
mol_15	val	assigned
mol_16	val	assigned
mol_17	val	assigned
mol_18	train	assigned
mol_19	train	assigned
mol_20	val	assigned
mol_21	val	assigned
mol_22	val	assigned
mol_23	val	sampled
mol_24	val	assigned
mol_25	train	assigned
mol_26	val	assigned
mol_27	train	assigned
mol_28	train	assigned
mol_29	val	assigned
mol_30	val	assigned
mol_31	val	assigned
mol_32	train	assigned
mol_33	val	assigned
mol_34	train	sampled
mol_35	val	assigned
mol_36	train	assigned
mol_37	train	assigned
mol_38	train	assigned
mol_39	val	assigned
mol_40	val	sampled
mol_41	val	assigned
mol_42	val	assigned
mol_43	test	sampled
mol_44	train	assigned
mol_45	train	assigned
mol_46	train	assigned
mol_47	val	assigned
mol_48	val	assigned
mol_49	val	sampled
mol_50	val	assigned
mol_51	val	assigned
mol_52	val	sampled
mol_53	val	sampled
mol_54	val	assigned
mol_55	val	assigned
mol_56	val	assigned
mol_57	train	assigned
mol_58	val	assigned
mol_59	train	assigned
mol_60	train	assigned
mol_61	val	sampled
mol_62	train	assigned
mol_63	test	assigned
mol_64	val	assigned
mol_65	val	assigned
mol_66	val	assigned
mol_67	val	assigned
mol_68	val	assigned
mol_69	train	sampled
mol_70	val	sampled
mol_71	val	assigned
mol_72	val	assigned
mol_73	train	assigned
mol_74	test	assigned
mol_75	test	sampled
mol_76	val	assigned
mol_77	train	assigned
mol_78	val	assigned
mol_79	train	assigned
mol_80	train	assigned
mol_81	val	assigned
mol_82	val	assigned
mol_83	val	sampled
mol_84	test	assigned
mol_85	test	sampled
mol_86	val	sampled
mol_87	train	assigned
mol_88	val	sampled
mol_89	train	sampled
mol_90	val	sampled
mol_91	train	assigned
mol_92	val	sampled
mol_93	val	assigned
mol_94	val	assigned
mol_95	val	assigned
mol_96	val	sampled
mol_97	train	assigned
mol_98	train	sampled
mol_99	train	assigned
mol_100	val	assigned
mol_101	val	assigned
mol_102	train	assigned
mol_103	test	assigned
mol_104	val	sampled
mol_105	val	assigned
mol_106	val	assigned
mol_107	train	assigned
mol_108	val	sampled
mol_109	train	sampled
mol_110	train	assigned
mol_111	val	assigned
mol_112	test	assigned
mol_113	test	assigned
mol_114	train	assigned
mol_115	test	assigned
mol_116	train	sampled
mol_117	val	assigned
mol_118	val	assigned
mol_119	val	sampled
mol_120	train	sampled
mol_121	val	assigned
mol_122	val	sampled
mol_123	val	assigned
mol_124	val	assigned
mol_125	val	assigned
mol_126	val	assigned
mol_127	val	sampled
mol_128	train	sampled
mol_129	val	assigned
mol_130	train	sampled
mol_131	val	assigned
mol_132	test	assigned
mol_133	test	sampled
mol_134	test	sampled
mol_135	test	assigned
mol_136	val	assigned
mol_137	test	assigned
mol_138	test	assigned
mol_139	test	sampled
mol_140	test	assigned
mol_141	test	assigned
mol_142	test	assigned
mol_143	test	assigned
mol_144	test	sampled
mol_145	test	assigned
mol_146	val	assigned
mol_147	test	assigned
mol_148	val	assigned
mol_149	train	assigned
mol_150	train	assigned
mol_151	val	assigned
mol_152	train	assigned
mol_153	train	assigned
mol_154	train	assigned
mol_155	train	assigned
mol_156	val	assigned
mol_157	train	assigned
mol_158	train	assigned
mol_159	train	assigned
mol_160	train	assigned
mol_161	train	assigned
mol_162	train	assigned
mol_163	val	assigned
mol_164	train	assigned
mol_165	val	sampled
mol_166	train	assigned
mol_167	train	assigned
mol_168	train	assigned
mol_169	train	assigned
mol_170	val	assigned
mol_171	train	assigned
mol_172	val	sampled
mol_173	train	assigned
mol_174	test	assigned
mol_175	val	assigned
mol_176	train	assigned
mol_177	test	assigned
mol_178	train	assigned
mol_179	val	assigned
mol_180	train	sampled
mol_181	train	sampled
mol_182	train	assigned
mol_183	train	assigned
mol_184	train	assigned
mol_185	train	assigned
mol_186	train	sampled
