ID	Split
mol_0	train
mol_1	train
mol_2	val
mol_3	val
mol_4	val
mol_5	train
mol_6	test
mol_7	train
mol_8	test
mol_9	train
mol_10	train
mol_11	train
mol_12	val
mol_13	train
mol_14	train
mol_15	val
mol_16	val
mol_17	train
mol_18	train
mol_19	train
mol_20	train
mol_21	val
mol_22	train
mol_23	train
mol_24	test
mol_25	test
mol_26	test
mol_27	train
mol_28	train
mol_29	train
mol_30	test
mol_31	train
mol_32	train
mol_33	val
mol_34	train
mol_35	train
mol_36	test
mol_37	train
mol_38	train
mol_39	train
mol_40	train
mol_41	val
mol_42	train
mol_43	val
mol_44	train
mol_45	train
mol_46	train
mol_47	train
mol_48	train
mol_49	train
mol_50	train
mol_51	train
mol_52	train
mol_53	train
mol_54	train
mol_55	train
mol_56	test
mol_57	val
mol_58	train
mol_59	val
mol_60	train
mol_61	val
mol_62	train
mol_63	val
mol_64	train
mol_65	val
mol_66	val
mol_67	train
mol_68	train
mol_69	val
mol_70	train
mol_71	train
mol_72	train
mol_73	val
mol_74	train
mol_75	train
mol_76	train
mol_77	val
mol_78	train
mol_79	val
mol_80	train
mol_81	train
mol_82	train
mol_83	train
mol_84	test
mol_85	train
mol_86	train
mol_87	train
mol_88	train
mol_89	train
mol_90	val
mol_91	val
mol_92	train
mol_93	val
mol_94	val
mol_95	test
mol_96	train
mol_97	train
mol_98	test
mol_99	train
mol_100	train
mol_101	train
mol_102	train
mol_103	val
mol_104	train
mol_105	train
mol_106	val
mol_107	train
mol_108	train
mol_109	test
mol_110	val
mol_111	test
mol_112	train
mol_113	train
mol_114	train
mol_115	train
mol_116	train
mol_117	train
mol_118	train
mol_119	train
mol_120	val
mol_121	train
mol_122	val
mol_123	train
mol_124	test
mol_125	train
mol_126	test
mol_127	val
mol_128	train
mol_129	train
mol_130	test
mol_131	train
mol_132	test
mol_133	train
mol_134	train
mol_135	train
mol_136	test
mol_137	train
mol_138	val
mol_139	val
mol_140	train
mol_141	val
mol_142	train
mol_143	train
mol_144	test
mol_145	train
mol_146	test
mol_147	train
mol_148	val
mol_149	train
mol_150	train
mol_151	train
mol_152	train
mol_153	val
mol_154	val
mol_155	val
mol_156	test
mol_157	train
mol_158	train
mol_159	val
mol_160	train
mol_161	train
mol_162	train
mol_163	train
mol_164	val
mol_165	train
mol_166	train
mol_167	train
mol_168	train
mol_169	train
mol_170	val
mol_171	train
mol_172	train
mol_173	val
mol_174	train
mol_175	train
mol_176	train
mol_177	train
mol_178	train
mol_179	train
mol_180	train
mol_181	train
mol_182	train
mol_183	train
mol_184	train
mol_185	val
mol_186	train
mol_187	train
mol_188	train
mol_189	test
mol_190	train
mol_191	val
mol_192	val
mol_193	train
mol_194	train
mol_195	train
mol_196	test
mol_197	train
mol_198	test
mol_199	val
mol_200	train
mol_201	train
mol_202	train
mol_203	test
mol_204	train
mol_205	train
mol_206	train
mol_207	train
mol_208	train
mol_209	train
mol_210	test
mol_211	train
mol_212	val
mol_213	train
mol_214	train
mol_215	train
mol_216	val
mol_217	val
mol_218	val
mol_219	train
mol_220	train
mol_221	val
mol_222	val
mol_223	train
mol_224	train
mol_225	train
mol_226	train
mol_227	train
mol_228	train
mol_229	train
mol_230	train
mol_231	test
mol_232	train
mol_233	train
mol_234	train
mol_235	val
mol_236	train
mol_237	train
