ID	Cluster_ID
mol_0	3
mol_1	6
mol_2	2
mol_3	2
mol_4	3
mol_5	3
mol_6	6
mol_7	3
mol_8	3
mol_9	4
mol_10	3
mol_11	3
mol_12	3
mol_13	4
mol_14	2
mol_15	3
mol_16	3
mol_17	2
mol_18	2
mol_19	6
mol_20	2
mol_21	2
mol_22	3
mol_23	3
mol_24	2
mol_25	1
mol_26	1
mol_27	3
mol_28	2
mol_29	6
mol_30	2
mol_31	2
mol_32	3
mol_33	3
mol_34	1
mol_35	5
mol_36	3
mol_37	2
mol_38	4
mol_39	3
mol_40	3
mol_41	2
mol_42	9
mol_43	3
mol_44	3
mol_45	2
mol_46	3
mol_47	3
mol_48	2
mol_49	2
mol_50	4
mol_51	2
mol_52	2
mol_53	3
mol_54	2
mol_55	4
mol_56	3
mol_57	3
mol_58	9
mol_59	4
mol_60	2
mol_61	4
mol_62	7
mol_63	0
mol_64	3
mol_65	0
mol_66	3
mol_67	2
mol_68	1
mol_69	3
mol_70	3
mol_71	3
mol_72	3
mol_73	3
mol_74	3
mol_75	3
mol_76	9
mol_77	6
mol_78	2
mol_79	2
mol_80	3
mol_81	3
mol_82	2
mol_83	6
mol_84	2
mol_85	3
mol_86	3
mol_87	7
mol_88	3
mol_89	2
mol_90	3
mol_91	2
mol_92	1
mol_93	1
mol_94	4
mol_95	2
mol_96	4
mol_97	1
mol_98	0
mol_99	2
mol_100	7
mol_101	6
mol_102	3
mol_103	2
mol_104	6
mol_105	1
mol_106	3
mol_107	3
mol_108	7
mol_109	2
mol_110	3
mol_111	7
mol_112	3
mol_113	9
mol_114	3
mol_115	6
mol_116	2
mol_117	3
mol_118	4
mol_119	4
mol_120	3
mol_121	3
mol_122	3
mol_123	4
mol_124	6
mol_125	3
mol_126	1
mol_127	2
mol_128	1
mol_129	6
mol_130	2
mol_131	3
mol_132	3
mol_133	3
mol_134	9
mol_135	3
mol_136	2
mol_137	2
mol_138	3
mol_139	2
mol_140	7
mol_141	3
mol_142	2
mol_143	1
mol_144	2
mol_145	4
mol_146	4
mol_147	6
mol_148	0
mol_149	3
mol_150	3
mol_151	6
mol_152	3
mol_153	1
mol_154	4
mol_155	2
mol_156	2
mol_157	3
mol_158	2
mol_159	3
mol_160	3
mol_161	7
mol_162	2
mol_163	2
mol_164	3
mol_165	6
mol_166	2
mol_167	3
mol_168	3
mol_169	3
mol_170	3
mol_171	4
mol_172	3
mol_173	7
mol_174	7
mol_175	3
mol_176	1
mol_177	2
mol_178	3
mol_179	6
mol_180	1
mol_181	3
mol_182	3
mol_183	2
mol_184	3
mol_185	4
mol_186	3
mol_187	2
mol_188	3
mol_189	1
mol_190	3
mol_191	2
mol_192	4
mol_193	1
mol_194	1
mol_195	3
mol_196	2
mol_197	6
mol_198	3
mol_199	1
mol_200	4
mol_201	4
mol_202	9
mol_203	3
mol_204	3
mol_205	3
mol_206	2
mol_207	3
mol_208	2
mol_209	2
mol_210	3
mol_211	2
mol_212	3
mol_213	3
mol_214	2
mol_215	3
mol_216	2
mol_217	1
mol_218	2
mol_219	1
mol_220	3
mol_221	3
mol_222	4
mol_223	3
mol_224	7
mol_225	4
mol_226	3
mol_227	1
mol_228	7
mol_229	2
mol_230	3
mol_231	3
mol_232	3
mol_233	3
mol_234	4
mol_235	2
mol_236	3
mol_237	9
mol_238	2
mol_239	2
mol_240	1
mol_241	3
mol_242	3
mol_243	7
mol_244	2
mol_245	2
mol_246	6
mol_247	2
mol_248	2
mol_249	3
mol_250	4
mol_251	3
mol_252	6
mol_253	3
mol_254	3
mol_255	2
mol_256	2
mol_257	4
mol_258	3
mol_259	3
mol_260	4
mol_261	2
mol_262	2
mol_263	0
mol_264	3
mol_265	3
mol_266	4
mol_267	9
mol_268	3
mol_269	3
mol_270	6
mol_271	4
mol_272	3
mol_273	2
mol_274	2
mol_275	4
mol_276	6
mol_277	2
mol_278	9
mol_279	4
mol_280	1
mol_281	4
mol_282	1
mol_283	6
mol_284	2
mol_285	3
mol_286	3
mol_287	3
mol_288	3
mol_289	3
mol_290	3
mol_291	2
mol_292	3
mol_293	1
mol_294	1
mol_295	2
mol_296	2
mol_297	4
mol_298	3
mol_299	9
mol_300	4
mol_301	3
mol_302	3
mol_303	4
mol_304	3
mol_305	4
mol_306	2
mol_307	3
mol_308	2
mol_309	3
mol_310	4
mol_311	2
mol_312	2
mol_313	3
mol_314	3
mol_315	6
mol_316	4
mol_317	6
mol_318	7
mol_319	7
mol_320	0
mol_321	2
mol_322	9
mol_323	3
mol_324	3
mol_325	3
mol_326	2
mol_327	4
mol_328	6
mol_329	4
mol_330	7
mol_331	2
mol_332	4
mol_333	2
mol_334	3
mol_335	4
mol_336	2
mol_337	3
mol_338	6
mol_339	2
mol_340	2
mol_341	4
mol_342	4
mol_343	3
mol_344	1
mol_345	3
mol_346	3
mol_347	4
mol_348	4
mol_349	6
mol_350	2
mol_351	2
mol_352	2
mol_353	3
mol_354	7
mol_355	0
mol_356	4
mol_357	9
mol_358	4
mol_359	2
mol_360	1
mol_361	2
mol_362	3
mol_363	3
mol_364	2
mol_365	3
mol_366	6
mol_367	1
mol_368	2
mol_369	3
mol_370	3
mol_371	3
mol_372	2
mol_373	2
mol_374	4
mol_375	1
mol_376	9
mol_377	2
mol_378	4
mol_379	4
mol_380	2
mol_381	4
mol_382	3
mol_383	3
mol_384	3
mol_385	3
mol_386	4
mol_387	3
mol_388	3
mol_389	2
mol_390	5
mol_391	7
mol_392	6
mol_393	6
mol_394	1
mol_395	3
mol_396	7
mol_397	3
mol_398	2
mol_399	3
mol_400	3
mol_401	4
mol_402	3
mol_403	3
mol_404	1
mol_405	4
mol_406	3
mol_407	1
mol_408	2
mol_409	9
mol_410	6
mol_411	6
mol_412	2
mol_413	3
mol_414	6
mol_415	4
