ID	Split
mol_0	train
mol_1	val
mol_2	train
mol_3	train
mol_4	train
mol_5	train
mol_6	val
mol_7	train
mol_8	train
mol_9	val
mol_10	train
mol_11	train
mol_12	train
mol_13	val
mol_14	train
mol_15	train
mol_16	train
mol_17	train
mol_18	train
mol_19	val
mol_20	train
mol_21	train
mol_22	train
mol_23	train
mol_24	train
mol_25	train
mol_26	train
mol_27	train
mol_28	train
mol_29	val
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	train
mol_35	train
mol_36	train
mol_37	train
mol_38	val
mol_39	train
mol_40	train
mol_41	train
mol_42	test
mol_43	train
mol_44	train
mol_45	train
mol_46	train
mol_47	train
mol_48	train
mol_49	train
mol_50	val
mol_51	train
mol_52	train
mol_53	train
mol_54	train
mol_55	val
mol_56	train
mol_57	train
mol_58	test
mol_59	val
mol_60	train
mol_61	val
mol_62	test
mol_63	test
mol_64	train
mol_65	test
mol_66	train
mol_67	train
mol_68	train
mol_69	train
mol_70	train
mol_71	train
mol_72	train
mol_73	train
mol_74	train
mol_75	train
mol_76	test
mol_77	val
mol_78	train
mol_79	train
mol_80	train
mol_81	train
mol_82	train
mol_83	val
mol_84	train
mol_85	train
mol_86	train
mol_87	test
mol_88	train
mol_89	train
mol_90	train
mol_91	train
mol_92	train
mol_93	train
mol_94	val
mol_95	train
mol_96	val
mol_97	train
mol_98	test
mol_99	train
mol_100	test
mol_101	val
mol_102	train
mol_103	train
mol_104	val
mol_105	train
mol_106	train
mol_107	train
mol_108	test
mol_109	train
mol_110	train
mol_111	test
mol_112	train
mol_113	test
mol_114	train
mol_115	val
mol_116	train
mol_117	train
mol_118	val
mol_119	val
mol_120	train
mol_121	train
mol_122	train
mol_123	val
mol_124	val
mol_125	train
mol_126	train
mol_127	train
mol_128	train
mol_129	val
mol_130	train
mol_131	train
mol_132	train
mol_133	train
mol_134	test
mol_135	train
mol_136	train
mol_137	train
mol_138	train
mol_139	train
mol_140	test
mol_141	train
mol_142	train
mol_143	train
mol_144	train
mol_145	val
mol_146	val
mol_147	val
mol_148	test
mol_149	train
mol_150	train
mol_151	val
mol_152	train
mol_153	train
mol_154	val
mol_155	train
mol_156	train
mol_157	train
mol_158	train
mol_159	train
mol_160	train
mol_161	test
mol_162	train
mol_163	train
mol_164	train
mol_165	val
mol_166	train
mol_167	train
mol_168	train
mol_169	train
mol_170	train
mol_171	val
mol_172	train
mol_173	test
mol_174	test
mol_175	train
mol_176	train
mol_177	train
mol_178	train
mol_179	val
mol_180	train
mol_181	train
mol_182	train
mol_183	train
mol_184	train
mol_185	val
mol_186	train
mol_187	train
mol_188	train
mol_189	train
mol_190	train
mol_191	train
mol_192	val
mol_193	train
mol_194	train
mol_195	train
mol_196	train
mol_197	val
mol_198	train
mol_199	train
mol_200	val
mol_201	val
mol_202	test
mol_203	train
mol_204	train
mol_205	train
mol_206	train
mol_207	train
mol_208	train
mol_209	train
mol_210	train
mol_211	train
mol_212	train
mol_213	train
mol_214	train
mol_215	train
mol_216	train
mol_217	train
mol_218	train
mol_219	train
mol_220	train
mol_221	train
mol_222	val
mol_223	train
mol_224	test
mol_225	val
mol_226	train
mol_227	train
mol_228	test
mol_229	train
mol_230	train
mol_231	train
mol_232	train
mol_233	train
mol_234	val
mol_235	train
mol_236	train
mol_237	test
mol_238	train
mol_239	train
mol_240	train
mol_241	train
mol_242	train
mol_243	test
mol_244	train
mol_245	train
mol_246	val
mol_247	train
mol_248	train
mol_249	train
mol_250	val
mol_251	train
mol_252	val
mol_253	train
mol_254	train
mol_255	train
mol_256	train
mol_257	val
mol_258	train
mol_259	train
mol_260	val
mol_261	train
mol_262	train
mol_263	test
mol_264	train
mol_265	train
mol_266	val
mol_267	test
mol_268	train
mol_269	train
mol_270	val
mol_271	val
mol_272	train
mol_273	train
mol_274	train
mol_275	val
mol_276	val
mol_277	train
mol_278	test
mol_279	val
mol_280	train
mol_281	val
mol_282	train
mol_283	val
mol_284	train
mol_285	train
mol_286	train
mol_287	train
mol_288	train
mol_289	train
mol_290	train
mol_291	train
mol_292	train
mol_293	train
mol_294	train
mol_295	train
mol_296	train
mol_297	val
mol_298	train
mol_299	test
mol_300	val
mol_301	train
mol_302	train
mol_303	val
mol_304	train
mol_305	val
mol_306	train
mol_307	train
mol_308	train
mol_309	train
mol_310	val
mol_311	train
mol_312	train
mol_313	train
mol_314	train
mol_315	val
mol_316	val
mol_317	val
mol_318	test
mol_319	test
mol_320	test
mol_321	train
mol_322	test
mol_323	train
mol_324	train
mol_325	train
mol_326	train
mol_327	val
mol_328	val
mol_329	val
mol_330	test
mol_331	train
mol_332	val
mol_333	train
mol_334	train
mol_335	val
mol_336	train
mol_337	train
mol_338	val
mol_339	train
mol_340	train
mol_341	val
mol_342	val
mol_343	train
mol_344	train
mol_345	train
mol_346	train
mol_347	val
mol_348	val
mol_349	val
mol_350	train
mol_351	train
mol_352	train
mol_353	train
mol_354	test
mol_355	test
mol_356	val
mol_357	test
mol_358	val
mol_359	train
mol_360	train
mol_361	train
mol_362	train
mol_363	train
mol_364	train
mol_365	train
mol_366	val
