ID	Split	Source
mol_0	train	sampled
mol_1	train	assigned
mol_2	val	assigned
mol_3	train	assigned
mol_4	train	assigned
mol_5	train	assigned
mol_6	train	assigned
mol_7	train	assigned
mol_8	train	sampled
mol_9	test	assigned
mol_10	val	assigned
mol_11	val	assigned
mol_12	train	assigned
mol_13	train	assigned
mol_14	val	sampled
mol_15	train	assigned
mol_16	test	assigned
mol_17	train	sampled
mol_18	train	assigned
mol_19	train	sampled
mol_20	train	assigned
mol_21	train	assigned
mol_22	train	assigned
mol_23	val	sampled
mol_24	train	assigned
mol_25	train	assigned
mol_26	train	sampled
mol_27	train	assigned
mol_28	train	assigned
mol_29	train	assigned
mol_30	train	assigned
mol_31	train	sampled
mol_32	train	assigned
mol_33	train	sampled
mol_34	train	assigned
mol_35	train	assigned
mol_36	train	assigned
mol_37	test	sampled
mol_38	test	assigned
mol_39	train	assigned
mol_40	train	assigned
mol_41	train	sampled
mol_42	test	assigned
mol_43	test	assigned
mol_44	train	assigned
mol_45	train	sampled
mol_46	train	assigned
mol_47	test	assigned
mol_48	train	sampled
mol_49	val	assigned
mol_50	train	sampled
mol_51	test	sampled
mol_52	train	assigned
mol_53	train	assigned
mol_54	train	assigned
mol_55	val	assigned
mol_56	train	sampled
mol_57	train	sampled
mol_58	train	sampled
mol_59	val	assigned
mol_60	train	assigned
mol_61	train	sampled
mol_62	val	assigned
mol_63	train	assigned
mol_64	train	assigned
mol_65	train	sampled
mol_66	train	assigned
mol_67	test	assigned
mol_68	train	assigned
mol_69	train	sampled
mol_70	train	assigned
mol_71	train	assigned
mol_72	train	assigned
mol_73	val	sampled
mol_74	train	assigned
mol_75	train	assigned
mol_76	test	assigned
mol_77	test	assigned
mol_78	train	assigned
mol_79	val	sampled
mol_80	train	sampled
mol_81	train	assigned
mol_82	train	assigned
mol_83	train	assigned
mol_84	test	sampled
mol_85	train	assigned
mol_86	train	assigned
mol_87	val	sampled
mol_88	val	sampled
mol_89	train	assigned
mol_90	val	assigned
mol_91	train	sampled
mol_92	train	assigned
mol_93	val	sampled
mol_94	train	assigned
mol_95	val	sampled
mol_96	val	sampled
mol_97	train	assigned
mol_98	test	assigned
mol_99	train	assigned
mol_100	train	sampled
mol_101	train	sampled
mol_102	train	assigned
mol_103	val	assigned
mol_104	train	assigned
mol_105	val	assigned
mol_106	val	sampled
mol_107	val	sampled
mol_108	val	assigned
mol_109	train	assigned
mol_110	val	sampled
mol_111	val	assigned
mol_112	train	assigned
mol_113	train	assigned
mol_114	test	assigned
mol_115	train	assigned
mol_116	train	assigned
mol_117	train	assigned
mol_118	train	assigned
mol_119	val	assigned
mol_120	train	assigned
mol_121	train	sampled
mol_122	test	sampled
mol_123	test	assigned
mol_124	train	assigned
mol_125	test	assigned
mol_126	test	assigned
mol_127	val	assigned
mol_128	test	assigned
mol_129	val	assigned
mol_130	val	assigned
mol_131	train	sampled
mol_132	test	sampled
mol_133	train	assigned
mol_134	train	assigned
mol_135	test	assigned
mol_136	train	assigned
mol_137	test	assigned
mol_138	train	assigned
mol_139	train	assigned
mol_140	train	assigned
mol_141	train	assigned
mol_142	train	assigned
mol_143	val	assigned
mol_144	val	assigned
mol_145	train	assigned
mol_146	train	assigned
mol_147	train	assigned
mol_148	train	assigned
mol_149	val	sampled
mol_150	test	assigned
mol_151	train	assigned
mol_152	train	assigned
mol_153	test	assigned
mol_154	train	assigned
mol_155	train	assigned
mol_156	train	sampled
mol_157	train	sampled
mol_158	train	assigned
mol_159	val	assigned
mol_160	train	assigned
mol_161	train	assigned
mol_162	train	assigned
mol_163	train	assigned
mol_164	test	assigned
mol_165	train	assigned
mol_166	val	assigned
mol_167	val	sampled
mol_168	val	sampled
mol_169	train	sampled
mol_170	train	assigned
mol_171	train	assigned
mol_172	train	sampled
mol_173	train	assigned
mol_174	train	assigned
mol_175	test	assigned
mol_176	train	sampled
mol_177	train	sampled
mol_178	train	assigned
mol_179	test	sampled
mol_180	train	assigned
mol_181	train	assigned
mol_182	test	assigned
mol_183	train	assigned
mol_184	train	assigned
mol_185	train	sampled
mol_186	val	assigned
mol_187	train	assigned
mol_188	train	sampled
mol_189	test	assigned
mol_190	train	assigned
mol_191	test	assigned
mol_192	train	assigned
mol_193	train	assigned
mol_194	test	assigned
mol_195	train	assigned
mol_196	train	sampled
mol_197	val	assigned
mol_198	train	sampled
mol_199	train	sampled
mol_200	train	assigned
mol_201	train	assigned
mol_202	train	assigned
mol_203	train	assigned
mol_204	train	assigned
mol_205	train	assigned
mol_206	train	assigned
mol_207	train	assigned
mol_208	train	sampled
mol_209	val	assigned
mol_210	train	sampled
mol_211	train	assigned
mol_212	train	assigned
mol_213	train	assigned
mol_214	train	assigned
mol_215	train	assigned
mol_216	train	sampled
mol_217	val	sampled
mol_218	test	assigned
mol_219	train	assigned
mol_220	train	assigned
mol_221	train	sampled
mol_222	train	sampled
mol_223	train	assigned
mol_224	train	assigned
mol_225	train	assigned
mol_226	train	assigned
mol_227	train	assigned
mol_228	train	sampled
mol_229	train	assigned
mol_230	val	sampled
mol_231	train	sampled
mol_232	train	assigned
mol_233	train	sampled
mol_234	train	assigned
mol_235	train	assigned
mol_236	train	assigned
mol_237	train	assigned
mol_238	train	assigned
mol_239	train	sampled
mol_240	train	assigned
mol_241	train	assigned
mol_242	train	assigned
mol_243	train	assigned
mol_244	val	assigned
mol_245	val	sampled
mol_246	val	assigned
mol_247	val	sampled
mol_248	train	sampled
mol_249	train	assigned
mol_250	train	assigned
mol_251	val	sampled
mol_252	train	assigned
mol_253	train	assigned
mol_254	train	sampled
mol_255	train	assigned
mol_256	test	assigned
mol_257	train	sampled
mol_258	train	assigned
mol_259	train	sampled
mol_260	val	assigned
mol_261	train	assigned
mol_262	train	assigned
mol_263	train	sampled
mol_264	train	assigned
mol_265	train	sampled
mol_266	train	assigned
mol_267	train	sampled
mol_268	test	assigned
mol_269	train	assigned
mol_270	train	assigned
mol_271	test	assigned
mol_272	train	assigned
mol_273	train	assigned
mol_274	train	assigned
mol_275	train	assigned
mol_276	val	assigned
mol_277	train	assigned
mol_278	train	assigned
mol_279	train	sampled
mol_280	train	assigned
mol_281	train	assigned
mol_282	train	assigned
mol_283	train	assigned
mol_284	train	assigned
mol_285	val	assigned
mol_286	val	sampled
mol_287	val	assigned
mol_288	test	assigned
mol_289	train	assigned
mol_290	train	sampled
mol_291	train	sampled
mol_292	train	assigned
mol_293	val	sampled
mol_294	train	assigned
mol_295	train	assigned
mol_296	train	sampled
mol_297	train	assigned
mol_298	train	assigned
mol_299	test	assigned
mol_300	train	assigned
mol_301	train	assigned
mol_302	train	assigned
mol_303	train	sampled
mol_304	test	assigned
mol_305	train	assigned
mol_306	train	assigned
mol_307	train	assigned
mol_308	val	sampled
mol_309	train	assigned
mol_310	train	assigned
mol_311	train	assigned
mol_312	test	assigned
mol_313	test	assigned
mol_314	val	assigned
mol_315	train	sampled
mol_316	val	assigned
mol_317	train	assigned
mol_318	train	sampled
mol_319	train	sampled
mol_320	train	assigned
mol_321	train	sampled
mol_322	test	sampled
mol_323	train	sampled
mol_324	val	sampled
mol_325	train	sampled
mol_326	train	assigned
mol_327	train	assigned
mol_328	train	sampled
mol_329	train	assigned
mol_330	train	assigned
mol_331	val	assigned
mol_332	train	sampled
mol_333	val	sampled
mol_334	val	sampled
mol_335	train	assigned
mol_336	train	assigned
mol_337	val	assigned
mol_338	train	assigned
mol_339	train	sampled
mol_340	train	assigned
mol_341	train	assigned
mol_342	val	assigned
mol_343	train	assigned
mol_344	train	assigned
mol_345	val	assigned
mol_346	train	sampled
mol_347	train	sampled
mol_348	train	assigned
mol_349	train	sampled
mol_350	train	assigned
mol_351	val	sampled
mol_352	train	assigned
mol_353	train	sampled
mol_354	train	sampled
mol_355	train	assigned
mol_356	train	assigned
mol_357	train	assigned
mol_358	val	assigned
mol_359	train	assigned
