ID	Split
mol_0	train
mol_1	train
mol_2	val
mol_3	train
mol_4	train
mol_5	train
mol_6	train
mol_7	train
mol_8	test
mol_9	val
mol_10	train
mol_11	val
mol_12	train
mol_13	train
mol_14	train
mol_15	train
mol_16	val
mol_17	train
mol_18	train
mol_19	train
mol_20	train
mol_21	train
mol_22	train
mol_23	train
mol_24	train
mol_25	train
mol_26	test
mol_27	train
mol_28	train
mol_29	train
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	train
mol_35	train
mol_36	train
mol_37	val
mol_38	val
mol_39	train
mol_40	train
mol_41	train
mol_42	val
mol_43	val
mol_44	train
mol_45	train
mol_46	train
mol_47	test
mol_48	train
mol_49	train
mol_50	train
mol_51	test
mol_52	train
mol_53	train
mol_54	train
mol_55	train
mol_56	train
mol_57	train
mol_58	train
mol_59	val
mol_60	train
mol_61	train
mol_62	val
mol_63	test
mol_64	test
mol_65	train
mol_66	train
mol_67	val
mol_68	train
mol_69	test
mol_70	train
mol_71	train
mol_72	train
mol_73	val
mol_74	train
mol_75	train
mol_76	val
mol_77	val
mol_78	train
mol_79	train
mol_80	train
mol_81	test
mol_82	test
mol_83	train
mol_84	val
mol_85	train
mol_86	train
mol_87	train
mol_88	train
mol_89	train
mol_90	val
mol_91	train
mol_92	train
mol_93	train
mol_94	test
mol_95	val
mol_96	train
mol_97	train
mol_98	test
mol_99	test
mol_100	train
mol_101	train
mol_102	train
mol_103	train
mol_104	train
mol_105	train
mol_106	train
mol_107	train
mol_108	train
mol_109	train
mol_110	train
mol_111	val
mol_112	train
mol_113	train
mol_114	train
mol_115	test
mol_116	train
mol_117	train
mol_118	val
mol_119	train
mol_120	train
mol_121	train
mol_122	val
mol_123	val
mol_124	train
mol_125	val
mol_126	val
mol_127	val
mol_128	test
mol_129	val
mol_130	train
mol_131	train
mol_132	val
mol_133	train
mol_134	train
mol_135	val
mol_136	train
mol_137	train
mol_138	train
mol_139	train
mol_140	train
mol_141	train
mol_142	train
mol_143	val
mol_144	val
mol_145	test
mol_146	train
mol_147	train
mol_148	train
mol_149	train
mol_150	train
mol_151	train
mol_152	train
mol_153	val
mol_154	train
mol_155	train
mol_156	train
mol_157	train
mol_158	train
mol_159	train
mol_160	train
mol_161	train
mol_162	train
mol_163	train
mol_164	train
mol_165	train
mol_166	val
mol_167	train
mol_168	val
mol_169	train
mol_170	train
mol_171	train
mol_172	train
mol_173	train
mol_174	train
mol_175	val
mol_176	train
mol_177	test
mol_178	train
mol_179	val
mol_180	test
mol_181	test
mol_182	val
mol_183	train
mol_184	train
mol_185	train
mol_186	val
mol_187	train
mol_188	test
mol_189	val
mol_190	train
mol_191	val
mol_192	train
mol_193	train
mol_194	val
mol_195	train
mol_196	train
mol_197	train
mol_198	train
mol_199	train
mol_200	train
mol_201	train
mol_202	val
mol_203	train
mol_204	train
mol_205	train
mol_206	train
mol_207	train
mol_208	train
mol_209	val
mol_210	train
mol_211	train
mol_212	train
mol_213	train
mol_214	val
mol_215	val
mol_216	train
mol_217	val
mol_218	val
mol_219	train
mol_220	test
mol_221	train
mol_222	train
mol_223	val
mol_224	train
mol_225	train
mol_226	test
mol_227	train
mol_228	train
mol_229	train
mol_230	train
mol_231	train
mol_232	train
mol_233	train
mol_234	train
mol_235	train
mol_236	train
mol_237	train
