ID	Cluster_ID
mol_0	0
mol_1	5
mol_2	2
mol_3	5
mol_4	1
mol_5	1
mol_6	5
mol_7	0
mol_8	7
mol_9	6
mol_10	0
mol_11	2
mol_12	1
mol_13	1
mol_14	4
mol_15	5
mol_16	6
mol_17	5
mol_18	0
mol_19	0
mol_20	0
mol_21	5
mol_22	5
mol_23	0
mol_24	0
mol_25	5
mol_26	7
mol_27	5
mol_28	1
mol_29	1
mol_30	1
mol_31	1
mol_32	5
mol_33	0
mol_34	5
mol_35	0
mol_36	0
mol_37	6
mol_38	6
mol_39	5
mol_40	0
mol_41	5
mol_42	6
mol_43	6
mol_44	0
mol_45	0
mol_46	5
mol_47	7
mol_48	0
mol_49	0
mol_50	1
mol_51	7
mol_52	0
mol_53	5
mol_54	5
mol_55	5
mol_56	0
mol_57	5
mol_58	0
mol_59	2
mol_60	0
mol_61	5
mol_62	2
mol_63	9
mol_64	9
mol_65	5
mol_66	0
mol_67	6
mol_68	1
mol_69	9
mol_70	1
mol_71	0
mol_72	5
mol_73	2
mol_74	5
mol_75	5
mol_76	2
mol_77	2
mol_78	0
mol_79	0
mol_80	5
mol_81	9
mol_82	9
mol_83	1
mol_84	6
mol_85	5
mol_86	5
mol_87	0
mol_88	5
mol_89	0
mol_90	2
mol_91	5
mol_92	0
mol_93	5
mol_94	9
mol_95	2
mol_96	0
mol_97	0
mol_98	9
mol_99	9
mol_100	1
mol_101	1
mol_102	1
mol_103	0
mol_104	0
mol_105	0
mol_106	5
mol_107	0
mol_108	0
mol_109	5
mol_110	5
mol_111	2
mol_112	1
mol_113	1
mol_114	0
mol_115	7
mol_116	5
mol_117	0
mol_118	2
mol_119	0
mol_120	5
mol_121	0
mol_122	6
mol_123	6
mol_124	0
mol_125	6
mol_126	6
mol_127	2
mol_128	7
mol_129	2
mol_130	0
mol_131	0
mol_132	6
mol_133	1
mol_134	5
mol_135	2
mol_136	0
mol_137	1
mol_138	0
mol_139	0
mol_140	5
mol_141	4
mol_142	1
mol_143	2
mol_144	2
mol_145	9
mol_146	5
mol_147	5
mol_148	5
mol_149	1
mol_150	1
mol_151	0
mol_152	5
mol_153	6
mol_154	1
mol_155	0
mol_156	5
mol_157	0
mol_158	0
mol_159	0
mol_160	0
mol_161	0
mol_162	0
mol_163	5
mol_164	0
mol_165	0
mol_166	2
mol_167	0
mol_168	2
mol_169	1
mol_170	0
mol_171	0
mol_172	5
mol_173	0
mol_174	5
mol_175	6
mol_176	0
mol_177	7
mol_178	0
mol_179	6
mol_180	9
mol_181	9
mol_182	6
mol_183	5
mol_184	4
mol_185	5
mol_186	2
mol_187	5
mol_188	9
mol_189	2
mol_190	1
mol_191	6
mol_192	5
mol_193	0
mol_194	6
mol_195	5
mol_196	5
mol_197	0
mol_198	0
mol_199	0
mol_200	0
mol_201	5
mol_202	2
mol_203	1
mol_204	1
mol_205	0
mol_206	5
mol_207	0
mol_208	1
mol_209	2
mol_210	0
mol_211	0
mol_212	5
mol_213	5
mol_214	2
